id,census_geoid_12,validThrough
ocd-division/country:us/state:ct/sldl:16,sldl-09016,
ocd-division/country:us/state:ct/sldl:17,sldl-09017,
ocd-division/country:us/state:ct/sldl:18,sldl-09018,
ocd-division/country:us/state:ct/sldl:19,sldl-09019,
ocd-division/country:us/state:ct/sldl:20,sldl-09020,
ocd-division/country:us/state:ct/sldl:21,sldl-09021,
ocd-division/country:us/state:ct/sldl:22,sldl-09022,
ocd-division/country:us/state:ct/sldl:23,sldl-09023,
ocd-division/country:us/state:ct/sldl:24,sldl-09024,
ocd-division/country:us/state:ct/sldl:25,sldl-09025,
ocd-division/country:us/state:ct/sldl:26,sldl-09026,
ocd-division/country:us/state:ct/sldl:27,sldl-09027,
ocd-division/country:us/state:ct/sldl:28,sldl-09028,
ocd-division/country:us/state:ct/sldl:29,sldl-09029,
ocd-division/country:us/state:ct/sldl:30,sldl-09030,
ocd-division/country:us/state:ct/sldl:31,sldl-09031,
ocd-division/country:us/state:ct/sldl:32,sldl-09032,
ocd-division/country:us/state:ct/sldl:33,sldl-09033,
ocd-division/country:us/state:ct/sldl:34,sldl-09034,
ocd-division/country:us/state:ct/sldl:35,sldl-09035,
ocd-division/country:us/state:ct/sldl:36,sldl-09036,
ocd-division/country:us/state:ct/sldl:37,sldl-09037,
ocd-division/country:us/state:ct/sldl:38,sldl-09038,
ocd-division/country:us/state:ct/sldl:39,sldl-09039,
ocd-division/country:us/state:ct/sldl:40,sldl-09040,
ocd-division/country:us/state:ct/sldl:41,sldl-09041,
ocd-division/country:us/state:ct/sldl:42,sldl-09042,
ocd-division/country:us/state:ct/sldl:43,sldl-09043,
ocd-division/country:us/state:ct/sldl:44,sldl-09044,
ocd-division/country:us/state:ct/sldl:45,sldl-09045,
ocd-division/country:us/state:ct/sldl:46,sldl-09046,
ocd-division/country:us/state:ct/sldl:47,sldl-09047,
ocd-division/country:us/state:ct/sldl:48,sldl-09048,
ocd-division/country:us/state:ct/sldl:49,sldl-09049,
ocd-division/country:us/state:ct/sldl:50,sldl-09050,
ocd-division/country:us/state:ct/sldl:51,sldl-09051,
ocd-division/country:us/state:ct/sldl:52,sldl-09052,
ocd-division/country:us/state:ct/sldl:53,sldl-09053,
ocd-division/country:us/state:ct/sldl:54,sldl-09054,
ocd-division/country:us/state:ct/sldl:55,sldl-09055,
ocd-division/country:us/state:ct/sldl:56,sldl-09056,
ocd-division/country:us/state:ct/sldl:57,sldl-09057,
ocd-division/country:us/state:ct/sldl:58,sldl-09058,
ocd-division/country:us/state:ct/sldl:59,sldl-09059,
ocd-division/country:us/state:ct/sldl:60,sldl-09060,
ocd-division/country:us/state:ct/sldl:61,sldl-09061,
ocd-division/country:us/state:ct/sldl:62,sldl-09062,
