id,name
ocd-division/country:in/state:as/district:kb/cd:howraghat,Howraghat (ST); Karbi Anglong
ocd-division/country:in/state:as/district:kk/cd:gossaigaon,Gossaigaon; Kokrajhar
ocd-division/country:in/state:as/district:kk/cd:kokrajhar_east,Kokrajhar East (ST); Kokrajhar
ocd-division/country:in/state:as/district:kk/cd:kokrajhar_west,Kokrajhar West (ST); Kokrajhar
ocd-division/country:in/state:as/district:km/cd:dispur,Dispur; Kamrup Metro
ocd-division/country:in/state:as/district:km/cd:gauhati_east,Gauhati East; Kamrup Metro
ocd-division/country:in/state:as/district:km/cd:gauhati_west,Gauhati West; Kamrup Metro
ocd-division/country:in/state:as/district:km/cd:jalukbari,Jalukbari; Kamrup Metro
ocd-division/country:in/state:as/district:kr/cd:badarpur,Badarpur; Karimganj
ocd-division/country:in/state:as/district:kr/cd:karimganj_north,Karimganj North; Karimganj
ocd-division/country:in/state:as/district:kr/cd:karimganj_south,Karimganj South; Karimganj
ocd-division/country:in/state:as/district:kr/cd:patharkandi,Patharkandi; Karimganj
ocd-division/country:in/state:as/district:kr/cd:ratabari,Ratabari (SC); Karimganj
ocd-division/country:in/state:as/district:la/cd:bihpuria,Bihpuria; Lakhimpur
ocd-division/country:in/state:as/district:la/cd:dhakuakhana,Dhakuakhana (ST); Lakhimpur
ocd-division/country:in/state:as/district:la/cd:lakhimpur,Lakhimpur; Lakhimpur
ocd-division/country:in/state:as/district:la/cd:naobaicha,Naobaicha; Lakhimpur
ocd-division/country:in/state:as/district:ma/cd:majuli,Majuli (ST); Majuli
ocd-division/country:in/state:as/district:mo/cd:jagiroad,Jagiroad (SC); Morigaon
ocd-division/country:in/state:as/district:mo/cd:laharighat,Laharighat; Morigaon
ocd-division/country:in/state:as/district:mo/cd:morigaon,Morigaon; Morigaon
ocd-division/country:in/state:as/district:na/cd:barhampur,Barhampur; Nagaon
