id,sameAs,sameAsNote
ocd-division/country:in/state:jh/lok_sabha:godda,ocd-division/country:in/state:jh/cd:godda,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jh/lok_sabha:chatra,ocd-division/country:in/state:jh/cd:chatra,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jh/lok_sabha:kodarma,ocd-division/country:in/state:jh/cd:kodarma,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jh/lok_sabha:giridih,ocd-division/country:in/state:jh/cd:giridih,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jh/lok_sabha:dhanbad,ocd-division/country:in/state:jh/cd:dhanbad,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jh/lok_sabha:ranchi,ocd-division/country:in/state:jh/cd:ranchi,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jh/lok_sabha:jamshedpur,ocd-division/country:in/state:jh/cd:jamshedpur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jh/lok_sabha:singhbhum,ocd-division/country:in/state:jh/cd:singhbhum,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jh/lok_sabha:khunti,ocd-division/country:in/state:jh/cd:khunti,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jh/lok_sabha:lohardaga,ocd-division/country:in/state:jh/cd:lohardaga,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jh/lok_sabha:palamau,ocd-division/country:in/state:jh/cd:palamau,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:jh/lok_sabha:hazaribagh,ocd-division/country:in/state:jh/cd:hazaribagh,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:chikkodi,ocd-division/country:in/state:ka/cd:chikkodi,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:belagavi,ocd-division/country:in/state:ka/cd:belagavi,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:bagalkot,ocd-division/country:in/state:ka/cd:bagalkot,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:bijapur,ocd-division/country:in/state:ka/cd:bijapur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:kalaburagi,ocd-division/country:in/state:ka/cd:kalaburagi,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:raichur,ocd-division/country:in/state:ka/cd:raichur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:bidar,ocd-division/country:in/state:ka/cd:bidar,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:koppal,ocd-division/country:in/state:ka/cd:koppal,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:bellary,ocd-division/country:in/state:ka/cd:bellary,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:haveri,ocd-division/country:in/state:ka/cd:haveri,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:dharwad,ocd-division/country:in/state:ka/cd:dharwad,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:uttara_kannada,ocd-division/country:in/state:ka/cd:uttara_kannada,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:davanagere,ocd-division/country:in/state:ka/cd:davanagere,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:shimoga,ocd-division/country:in/state:ka/cd:shimoga,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:udupi_chikmagalur,ocd-division/country:in/state:ka/cd:udupi_chikmagalur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:hassan,ocd-division/country:in/state:ka/cd:hassan,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:dakshina_kannada,ocd-division/country:in/state:ka/cd:dakshina_kannada,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:chitradurga,ocd-division/country:in/state:ka/cd:chitradurga,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:tumkur,ocd-division/country:in/state:ka/cd:tumkur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:mandya,ocd-division/country:in/state:ka/cd:mandya,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:mysore,ocd-division/country:in/state:ka/cd:mysore,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:chamarajanagar,ocd-division/country:in/state:ka/cd:chamarajanagar,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:bangalore_rural,ocd-division/country:in/state:ka/cd:bangalore_rural,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:bangalore_north,ocd-division/country:in/state:ka/cd:bangalore_north,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:bangalore_central,ocd-division/country:in/state:ka/cd:bangalore_central,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:bangalore_south,ocd-division/country:in/state:ka/cd:bangalore_south,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:chikballapur,ocd-division/country:in/state:ka/cd:chikballapur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ka/lok_sabha:kolar,ocd-division/country:in/state:ka/cd:kolar,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:kl/lok_sabha:kasaragod,ocd-division/country:in/state:kl/cd:kasaragod,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:kl/lok_sabha:kannur,ocd-division/country:in/state:kl/cd:kannur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:kl/lok_sabha:vatakara,ocd-division/country:in/state:kl/cd:vatakara,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:kl/lok_sabha:wayanad,ocd-division/country:in/state:kl/cd:wayanad,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:kl/lok_sabha:kozhikode,ocd-division/country:in/state:kl/cd:kozhikode,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:kl/lok_sabha:malappuram,ocd-division/country:in/state:kl/cd:malappuram,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:kl/lok_sabha:ponnani,ocd-division/country:in/state:kl/cd:ponnani,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:kl/lok_sabha:palakkad,ocd-division/country:in/state:kl/cd:palakkad,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:kl/lok_sabha:alathur,ocd-division/country:in/state:kl/cd:alathur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:kl/lok_sabha:thrissur,ocd-division/country:in/state:kl/cd:thrissur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:kl/lok_sabha:chalakudy,ocd-division/country:in/state:kl/cd:chalakudy,Added for backwards compatibility with lok_sabha identifiers
