id,sameAs
ocd-division/country:uk/pcon:penistone_and_stocksbridge,ocd-division/country:gb/part:eng/region:uke/ed:penistone_and_stocksbridge
ocd-division/country:uk/pcon:pudsey,ocd-division/country:gb/part:eng/region:uke/ed:pudsey
ocd-division/country:uk/pcon:richmond_~yorks~,ocd-division/country:gb/part:eng/region:uke/ed:richmond_yorks
ocd-division/country:uk/pcon:rother_valley,ocd-division/country:gb/part:eng/region:uke/ed:rother_valley
ocd-division/country:uk/pcon:rotherham,ocd-division/country:gb/part:eng/region:uke/ed:rotherham
ocd-division/country:uk/pcon:scarborough_and_whitby,ocd-division/country:gb/part:eng/region:uke/ed:scarborough_and_whitby
ocd-division/country:uk/pcon:scunthorpe,ocd-division/country:gb/part:eng/region:uke/ed:scunthorpe
ocd-division/country:uk/pcon:selby_and_ainsty,ocd-division/country:gb/part:eng/region:uke/ed:selby_and_ainsty
ocd-division/country:uk/pcon:sheffield_hallam,ocd-division/country:gb/part:eng/region:uke/ed:sheffield_brightside_and_hillsborough
ocd-division/country:uk/pcon:sheffield_brightside_and_hillsborough,ocd-division/country:gb/part:eng/region:uke/ed:sheffield_central
ocd-division/country:uk/pcon:sheffield_heeley,ocd-division/country:gb/part:eng/region:uke/ed:sheffield_hallam
ocd-division/country:uk/pcon:sheffield_south_east,ocd-division/country:gb/part:eng/region:uke/ed:sheffield_heeley
ocd-division/country:uk/pcon:sheffield_central,ocd-division/country:gb/part:eng/region:uke/ed:sheffield_south_east
ocd-division/country:uk/pcon:shipley,ocd-division/country:gb/part:eng/region:uke/ed:shipley
ocd-division/country:uk/pcon:skipton_and_ripon,ocd-division/country:gb/part:eng/region:uke/ed:skipton_and_ripon
ocd-division/country:uk/pcon:thirsk_and_malton,ocd-division/country:gb/part:eng/region:uke/ed:thirsk_and_malton
ocd-division/country:uk/pcon:wakefield,ocd-division/country:gb/part:eng/region:uke/ed:wakefield
ocd-division/country:uk/pcon:wentworth_and_dearne,ocd-division/country:gb/part:eng/region:uke/ed:wentworth_and_dearne
ocd-division/country:uk/pcon:york_central,ocd-division/country:gb/part:eng/region:uke/ed:york_central
ocd-division/country:uk/pcon:york_outer,ocd-division/country:gb/part:eng/region:uke/ed:york_outer
ocd-division/country:uk/pcon:amber_valley,ocd-division/country:gb/part:eng/region:ukf/ed:amber_valley
