id,openstates_district
ocd-division/country:us/state:ga/sldu:3,ga-upper-3
ocd-division/country:us/state:ga/sldu:32,ga-upper-32
ocd-division/country:us/state:ga/sldu:33,ga-upper-33
ocd-division/country:us/state:ga/sldu:34,ga-upper-34
ocd-division/country:us/state:ga/sldu:35,ga-upper-35
ocd-division/country:us/state:ga/sldu:36,ga-upper-36
ocd-division/country:us/state:ga/sldu:37,ga-upper-37
ocd-division/country:us/state:ga/sldu:38,ga-upper-38
ocd-division/country:us/state:ga/sldu:39,ga-upper-39
ocd-division/country:us/state:ga/sldu:40,ga-upper-40
ocd-division/country:us/state:ga/sldu:41,ga-upper-41
ocd-division/country:us/state:ga/sldu:4,ga-upper-4
ocd-division/country:us/state:ga/sldu:42,ga-upper-42
ocd-division/country:us/state:ga/sldu:43,ga-upper-43
ocd-division/country:us/state:ga/sldu:44,ga-upper-44
ocd-division/country:us/state:ga/sldu:45,ga-upper-45
ocd-division/country:us/state:ga/sldu:46,ga-upper-46
ocd-division/country:us/state:ga/sldu:47,ga-upper-47
ocd-division/country:us/state:ga/sldu:48,ga-upper-48
ocd-division/country:us/state:ga/sldu:49,ga-upper-49
ocd-division/country:us/state:ga/sldu:50,ga-upper-50
ocd-division/country:us/state:ga/sldu:51,ga-upper-51
ocd-division/country:us/state:ga/sldu:5,ga-upper-5
ocd-division/country:us/state:ga/sldu:52,ga-upper-52
ocd-division/country:us/state:ga/sldu:53,ga-upper-53
ocd-division/country:us/state:ga/sldu:54,ga-upper-54
ocd-division/country:us/state:ga/sldu:55,ga-upper-55
ocd-division/country:us/state:ga/sldu:56,ga-upper-56
ocd-division/country:us/state:ga/sldu:6,ga-upper-6
ocd-division/country:us/state:ga/sldu:7,ga-upper-7
ocd-division/country:us/state:ga/sldu:8,ga-upper-8
ocd-division/country:us/state:ga/sldu:9,ga-upper-9
