id,sameAs,sameAsNote,validFrom,validThrough
ocd-division/country:de/land:by/wahlkreis:passau,ocd-division/country:de/ed:passau,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:regensburg,ocd-division/country:de/ed:regensburg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:rosenheim,ocd-division/country:de/ed:rosenheim,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:roth,ocd-division/country:de/ed:roth,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:rottal-inn,ocd-division/country:de/ed:rottal-inn,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:schwandorf,ocd-division/country:de/ed:schwandorf,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:schweinfurt,ocd-division/country:de/ed:schweinfurt,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:starnberg_~_landsberg_am_lech,ocd-division/country:de/ed:starnberg_-_landsberg_am_lech,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:straubing,ocd-division/country:de/ed:straubing,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:traunstein,ocd-division/country:de/ed:traunstein,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:weiden,ocd-division/country:de/ed:weiden,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:weilheim,ocd-division/country:de/ed:weilheim,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:by/wahlkreis:würzburg,ocd-division/country:de/ed:würzburg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:hb/wahlkreis:bremen_ii_~_bremerhaven,ocd-division/country:de/ed:bremen_ii_-_bremerhaven,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:hb/wahlkreis:bremen_i,ocd-division/country:de/ed:bremen_i,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:bergstraße,ocd-division/country:de/ed:bergstraße,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:darmstadt,ocd-division/country:de/ed:darmstadt,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:frankfurt_am_main_ii,ocd-division/country:de/ed:frankfurt_am_main_ii,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:frankfurt_am_main_i,ocd-division/country:de/ed:frankfurt_am_main_i,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:fulda,ocd-division/country:de/ed:fulda,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:gießen,ocd-division/country:de/ed:gießen,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:groß-gerau,ocd-division/country:de/ed:groß-gerau,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:hanau,ocd-division/country:de/ed:hanau,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:hochtaunus,ocd-division/country:de/ed:hochtaunus,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:kassel,ocd-division/country:de/ed:kassel,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:lahn-dill,ocd-division/country:de/ed:lahn-dill,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:main-kinzig_~_wetterau_ii_~_schotten,ocd-division/country:de/ed:main-kinzig_-_wetterau_ii_-_schotten,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:main-taunus,ocd-division/country:de/ed:main-taunus,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:marburg,ocd-division/country:de/ed:marburg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:odenwald,ocd-division/country:de/ed:odenwald,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:offenbach,ocd-division/country:de/ed:offenbach,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:rheingau-taunus_~_limburg,ocd-division/country:de/ed:rheingau-taunus_-_limburg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:schwalm-eder,ocd-division/country:de/ed:schwalm-eder,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:waldeck,ocd-division/country:de/ed:waldeck,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:werra-meißner_~_hersfeld-rotenburg,ocd-division/country:de/ed:werra-meißner_-_hersfeld-rotenburg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:wetterau_i,ocd-division/country:de/ed:wetterau_i,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:he/wahlkreis:wiesbaden,ocd-division/country:de/ed:wiesbaden,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:hh/wahlkreis:hamburg-altona,ocd-division/country:de/ed:hamburg-altona,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:hh/wahlkreis:hamburg-bergedorf_~_harburg,ocd-division/country:de/ed:hamburg-bergedorf_-_harburg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:hh/wahlkreis:hamburg-eimsbüttel,ocd-division/country:de/ed:hamburg-eimsbüttel,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:hh/wahlkreis:hamburg-mitte,ocd-division/country:de/ed:hamburg-mitte,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:hh/wahlkreis:hamburg-nord,ocd-division/country:de/ed:hamburg-nord,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:hh/wahlkreis:hamburg-wandsbek,ocd-division/country:de/ed:hamburg-wandsbek,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:mv/wahlkreis:ludwigslust-parchim_ii_~_nordwestmecklenburg_ii_~_landkreis_rostock_i,ocd-division/country:de/ed:ludwigslust-parchim_ii_-_nordwestmecklenburg_ii_-_landkreis_rostock_i,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:mv/wahlkreis:mecklenburgische_seenplatte_ii_~_landkreis_rostock_iii,ocd-division/country:de/ed:mecklenburgische_seenplatte_ii_-_landkreis_rostock_iii,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:mv/wahlkreis:mecklenburgische_seenplatte_i_~_vorpommern-greifswald_ii,ocd-division/country:de/ed:mecklenburgische_seenplatte_i_-_vorpommern-greifswald_ii,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:mv/wahlkreis:rostock_~_landkreis_rostock_ii,ocd-division/country:de/ed:rostock_-_landkreis_rostock_ii,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:mv/wahlkreis:schwerin_~_ludwigslust-parchim_i_~_nordwestmecklenburg_i,ocd-division/country:de/ed:schwerin_-_ludwigslust-parchim_i_-_nordwestmecklenburg_i,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:mv/wahlkreis:vorpommern-rügen_~_vorpommern-greifswald_i,ocd-division/country:de/ed:vorpommern-rügen_-_vorpommern-greifswald_i,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:aurich_~_emden,ocd-division/country:de/ed:aurich_-_emden,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:braunschweig,ocd-division/country:de/ed:braunschweig,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:celle_~_uelzen,ocd-division/country:de/ed:celle_-_uelzen,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:cloppenburg_~_vechta,ocd-division/country:de/ed:cloppenburg_-_vechta,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:cuxhaven_~_stade_ii,ocd-division/country:de/ed:cuxhaven_-_stade_ii,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:delmenhorst_~_wesermarsch_~_oldenburg-land,ocd-division/country:de/ed:delmenhorst_-_wesermarsch_-_oldenburg-land,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:diepholz_~_nienburg_i,ocd-division/country:de/ed:diepholz_-_nienburg_i,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:friesland_~_wilhelmshaven_~_wittmund,ocd-division/country:de/ed:friesland_-_wilhelmshaven_-_wittmund,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:gifhorn_~_peine,ocd-division/country:de/ed:gifhorn_-_peine,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:goslar_~_northeim_~_osterode,ocd-division/country:de/ed:goslar_-_northeim_-_göttingen_ii,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:göttingen,ocd-division/country:de/ed:göttingen_i,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:hameln-pyrmont_~_holzminden,ocd-division/country:de/ed:hameln-pyrmont_-_holzminden,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:hannover-land_ii,ocd-division/country:de/ed:hannover-land_ii,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:hannover-land_i,ocd-division/country:de/ed:hannover-land_i,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:harburg,ocd-division/country:de/ed:harburg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:helmstedt_~_wolfsburg,ocd-division/country:de/ed:helmstedt_-_wolfsburg,Added for backwards compatibility with land/wahlkreis identifiers,,
ocd-division/country:de/land:ni/wahlkreis:hildesheim,ocd-division/country:de/ed:hildesheim,Added for backwards compatibility with land/wahlkreis identifiers,,
