id,name,ordnance_id
ocd-division/country:uk/cty:cambridgeshire_county/diw:longstanton_ward,Longstanton Ward,E05002809
ocd-division/country:uk/cty:cambridgeshire_county/diw:hardwick_ward,Hardwick Ward,E05002804
ocd-division/country:uk/cty:cambridgeshire_county/diw:teversham_ward,Teversham Ward,E05002817
ocd-division/country:uk/cty:cambridgeshire_county/diw:milton_ward_det,Milton Ward (DET),E05002812
ocd-division/country:uk/cty:cambridgeshire_county/diw:bottisham_ward,Bottisham Ward,E05002716
ocd-division/country:uk/cty:cambridgeshire_county/diw:dullingham_villages_ward,Dullingham Villages Ward,E05002720
ocd-division/country:uk/cty:cambridgeshire_county/diw:cheveley_ward,Cheveley Ward,E05002718
ocd-division/country:uk/cty:cambridgeshire_county/diw:the_swaffhams_ward,The Swaffhams Ward,E05002734
ocd-division/country:uk/cty:cambridgeshire_county/diw:fordham_villages_ward,Fordham Villages Ward,E05002725
ocd-division/country:uk/cty:cambridgeshire_county/diw:haddenham_ward,Haddenham Ward,E05002726
ocd-division/country:uk/cty:cambridgeshire_county/diw:stretham_ward,Stretham Ward,E05002732
ocd-division/country:uk/cty:cambridgeshire_county/diw:sutton_ward,Sutton Ward,E05002733
ocd-division/country:uk/cty:cambridgeshire_county/diw:downham_villages_ward,Downham Villages Ward,E05002719
ocd-division/country:uk/cty:cambridgeshire_county/diw:soham_north_ward,Soham North Ward,E05002730
ocd-division/country:uk/cty:cambridgeshire_county/diw:ely_east_ward,Ely East Ward,E05002721
ocd-division/country:uk/cty:cambridgeshire_county/diw:isleham_ward,Isleham Ward,E05002727
ocd-division/country:uk/cty:cambridgeshire_county/diw:littleport_west_ward,Littleport West Ward,E05002729
ocd-division/country:uk/cty:cambridgeshire_county/diw:littleport_east_ward,Littleport East Ward,E05002728
ocd-division/country:uk/cty:cambridgeshire_county/diw:burwell_ward,Burwell Ward,E05002717
ocd-division/country:uk/cty:cambridgeshire_county/diw:soham_south_ward,Soham South Ward,E05002731
ocd-division/country:uk/cty:cambridgeshire_county/diw:ely_south_ward,Ely South Ward,E05002723
ocd-division/country:uk/cty:cambridgeshire_county/diw:ely_west_ward,Ely West Ward,E05002724
ocd-division/country:uk/cty:cambridgeshire_county/diw:ely_north_ward,Ely North Ward,E05002722
ocd-division/country:uk/cty:cambridgeshire_county/diw:kimbolton_and_staughton_ward,Kimbolton and Staughton Ward,E05008578
ocd-division/country:uk/cty:cambridgeshire_county/diw:gransden_and_the_offords_ward,Gransden and The Offords Ward,E05008528
ocd-division/country:uk/cty:cambridgeshire_county/diw:ellington_ward,Ellington Ward,E05008576
ocd-division/country:uk/cty:cambridgeshire_county/diw:somersham_ward,Somersham Ward,E05008938
ocd-division/country:uk/cty:cambridgeshire_county/diw:warboys_and_bury_ward,Warboys and Bury Ward,E05008939
ocd-division/country:uk/cty:cambridgeshire_county/diw:buckden_ward,Buckden Ward,E05008526
ocd-division/country:uk/cty:cambridgeshire_county/diw:brampton_ward,Brampton Ward,E05002763
ocd-division/country:uk/cty:cambridgeshire_county/diw:godmanchester_ward,Godmanchester Ward,E05002769
ocd-division/country:uk/cty:cambridgeshire_county/diw:the_hemingfords_ward,The Hemingfords Ward,E05008535
ocd-division/country:uk/cty:cambridgeshire_county/diw:alconbury_and_the_stukeleys_ward,Alconbury and The Stukeleys Ward,E05008525
ocd-division/country:uk/cty:cambridgeshire_county/diw:upwood_and_the_raveleys_ward,Upwood and The Raveleys Ward,E05008584
ocd-division/country:uk/cty:cambridgeshire_county/diw:sawtry_ward,Sawtry Ward,E05002784
ocd-division/country:uk/cty:cambridgeshire_county/diw:stilton_ward,Stilton Ward,E05002786
ocd-division/country:uk/cty:cambridgeshire_county/diw:yaxley_and_farcet_ward,Yaxley and Farcet Ward,E05002790
ocd-division/country:uk/cty:cambridgeshire_county/diw:ramsey_ward,Ramsey Ward,E05008531
ocd-division/country:uk/cty:cambridgeshire_county/diw:elton_and_folksworth_ward,Elton and Folksworth Ward,E05002767
ocd-division/country:uk/cty:cambridgeshire_county/diw:earith_ward,Earith Ward,E05008527
ocd-division/country:uk/cty:cambridgeshire_county/diw:little_paxton_ward,Little Paxton Ward,E05008579
ocd-division/country:uk/cty:cambridgeshire_county/diw:st_neots_priory_park_ward,St. Neots Priory Park Ward,E05008582
ocd-division/country:uk/cty:cambridgeshire_county/diw:fenstanton_ward,Fenstanton Ward,E05008577
ocd-division/country:uk/cty:cambridgeshire_county/diw:st_neots_eaton_socon_ward,St. Neots Eaton Socon Ward,E05002781
