id,name,ordnance_id,sameAs
ocd-division/country:uk/cty:buckinghamshire/cpc:thornborough,Thornborough,E04001538,
ocd-division/country:uk/cty:buckinghamshire/cpc:thornton,Thornton,E04001539,
ocd-division/country:uk/cty:buckinghamshire/cpc:nash,Nash,E04001514,
ocd-division/country:uk/cty:buckinghamshire/cpc:whaddon,Whaddon,E04001551,
ocd-division/country:uk/cty:buckinghamshire/cpc:leckhampstead,Leckhampstead,E04001501,
ocd-division/country:uk/cty:buckinghamshire/cpc:beachampton,Beachampton,E04001460,
ocd-division/country:uk/cty:buckinghamshire/cpc:stoke_mandeville,Stoke Mandeville,E04001534,
ocd-division/country:uk/cty:buckinghamshire/cpc:halton,Halton,E04001491,
ocd-division/country:uk/cty:buckinghamshire/cpc:weston_turville,Weston Turville,E04001550,
ocd-division/country:uk/cty:buckinghamshire/cpc:aylesbury,Aylesbury,E04001559,
ocd-division/country:uk/cty:buckinghamshire/cpc:hulcott,Hulcott,E04001496,
ocd-division/country:uk/cty:buckinghamshire/cpc:marsworth,Marsworth,E04001510,
ocd-division/country:uk/cty:buckinghamshire/cpc:pitstone,Pitstone,E04001521,
ocd-division/country:uk/cty:buckinghamshire/cpc:weedon,Weedon,E04012161,
ocd-division/country:uk/cty:buckinghamshire/cpc:aston_abbotts,Aston Abbotts,E04001456,
ocd-division/country:uk/cty:buckinghamshire/cpc:wingrave_with_rowsham,Wingrave with Rowsham,E04001554,
ocd-division/country:uk/cty:buckinghamshire/cpc:creslow,Creslow,E04001472,
ocd-division/country:uk/cty:buckinghamshire/cpc:dunton,Dunton,E04001479,
ocd-division/country:uk/cty:buckinghamshire/cpc:wing,Wing,E04001553,
ocd-division/country:uk/cty:buckinghamshire/cpc:cheddington,Cheddington,E04001469,
ocd-division/country:uk/cty:buckinghamshire/cpc:slapton,Slapton,E04001529,
ocd-division/country:uk/cty:buckinghamshire/cpc:drayton_parslow,Drayton Parslow,E04001478,
ocd-division/country:uk/cty:buckinghamshire/cpc:stoke_hammond,Stoke Hammond,E04001533,
ocd-division/country:uk/cty:buckinghamshire/cpc:great_brickhill,Great Brickhill,E04001487,
ocd-division/country:uk/cty:buckinghamshire/cpc:aston_sandford,Aston Sandford,E04001458,
ocd-division/country:uk/cty:buckinghamshire/cpc:coldharbour,Coldharbour,E04001560,
ocd-division/country:uk/cty:buckinghamshire/cpc:upper_winchendon,Upper Winchendon,E04001543,
ocd-division/country:uk/cty:buckinghamshire/cpc:woodham,Woodham,E04001556,
ocd-division/country:uk/cty:buckinghamshire/cpc:hardwick,Hardwick,E04001492,
ocd-division/country:uk/cty:buckinghamshire/cpc:pitchcott,Pitchcott,E04001520,
ocd-division/country:uk/cty:buckinghamshire/cpc:hoggeston,Hoggeston,E04001494,
ocd-division/country:uk/cty:buckinghamshire/cpc:addington,Addington,E04001452,
ocd-division/country:uk/cty:buckinghamshire/cpc:adstock,Adstock,E04001453,
ocd-division/country:uk/cty:buckinghamshire/cpc:radclive-cum-chackmore,Radclive-cum-Chackmore,E04001526,
ocd-division/country:uk/cty:buckinghamshire/cpc:watermead,Watermead,E04001561,
ocd-division/country:uk/cty:buckinghamshire/cpc:cublington,Cublington,E04001473,
ocd-division/country:uk/cty:buckinghamshire/cpc:buckingham_park,Buckingham Park,E04012160,
ocd-division/country:uk/cty:buckinghamshire/cpc:kingswood,Kingswood,E04001500,
ocd-division/country:uk/cty:cambridgeshire/cpc:elm,Elm,E04001658,
ocd-division/country:uk/cty:cambridgeshire/cpc:tydd_st_giles,Tydd St. Giles,E04001664,
ocd-division/country:uk/cty:cambridgeshire/cpc:whittlesey,Whittlesey,E04001666,
ocd-division/country:uk/cty:cambridgeshire/cpc:chatteris,Chatteris,E04012516,
