id,name,ordnance_id,sameAs
ocd-division/country:uk/ute:briton_ferry_east,Briton Ferry East,W05001028,
ocd-division/country:uk/ute:neath_south,Neath South,W05000579,
ocd-division/country:uk/ute:cimla,Cimla,W05000562,
ocd-division/country:uk/ute:coedffranc_north,Coedffranc North,W05000564,
ocd-division/country:uk/ute:bryn-coch_south,Bryn-Coch South,W05000560,
ocd-division/country:uk/ute:godrer_graig,Godre'r Graig,W05000572,
ocd-division/country:uk/ute:betws_yn_rhos,Betws yn Rhos,W05000114,
ocd-division/country:uk/ute:uwchaled,Uwchaled,W05000149,
ocd-division/country:uk/ute:llangernyw,Llangernyw,W05000132,
ocd-division/country:uk/ute:betws-y-coed,Betws-y-Coed,W05000113,
ocd-division/country:uk/ute:trefriw,Trefriw,W05000146,
ocd-division/country:uk/ute:caerhun,Caerhun,W05000116,
ocd-division/country:uk/ute:eglwysbach,Eglwysbach,W05000123,
ocd-division/country:uk/ute:uwch_conwy,Uwch Conwy,W05000148,
ocd-division/country:uk/ute:llansannan,Llansannan,W05000134,
ocd-division/country:uk/ute:gogarth,Gogarth,W05000127,
ocd-division/country:uk/ute:crwst,Crwst,W05000121,
ocd-division/country:uk/ute:bryn,Bryn,W05000115,
ocd-division/country:uk/ute:pandy,Pandy,W05000139,
ocd-division/country:uk/ute:pant-yr-afon~penmaenan,Pant-yr-Afon/Penmaenan,W05000140,
ocd-division/country:uk/ute:conwy,Conwy,W05000119,
ocd-division/country:uk/ute:mostyn,Mostyn,W05000138,
ocd-division/country:uk/ute:penrhyn,Penrhyn,W05000916,
ocd-division/country:uk/ute:llansanffraid,Llansanffraid,W05000133,
ocd-division/country:uk/ute:mochdre,Mochdre,W05000137,
ocd-division/country:uk/ute:rhiw,Rhiw,W05000144,
ocd-division/country:uk/ute:gele,Gele,W05000125,
ocd-division/country:uk/ute:kinmel_bay,Kinmel Bay,W05000129,
ocd-division/country:uk/ute:capelulo,Capelulo,W05000117,
ocd-division/country:uk/ute:deganwy,Deganwy,W05000914,
ocd-division/country:uk/ute:pensarn,Pensarn,W05000917,
ocd-division/country:uk/ute:marl,Marl,W05000915,
ocd-division/country:uk/ute:tudno,Tudno,W05000918,
ocd-division/country:uk/ute:craig-y-don,Craig-y-Don,W05000913,
ocd-division/country:uk/ute:eirias,Eirias,W05000124,
ocd-division/country:uk/ute:llysfaen,Llysfaen,W05000135,
ocd-division/country:uk/ute:llanddulas,Llanddulas,W05000130,
ocd-division/country:uk/ute:llandrillo_yn_rhos,Llandrillo yn Rhos,W05000131,
ocd-division/country:uk/ute:glyn,Glyn,W05000126,
ocd-division/country:uk/ute:pentre_mawr,Pentre Mawr,W05000143,
ocd-division/country:uk/ute:abergele_pensarn,Abergele Pensarn,W05000112,
ocd-division/country:uk/ute:towyn,Towyn,W05000145,
ocd-division/country:uk/ute:colwyn,Colwyn,W05000118,
ocd-division/country:uk/ute:trelawny,Trelawny,E05009274,
ocd-division/country:uk/ute:menheniot,Menheniot,E05009211,
ocd-division/country:uk/ute:lanivet_and_blisland,Lanivet and Blisland,E05009195,
ocd-division/country:uk/ute:st_issey_and_st_tudy,St. Issey and St. Tudy,E05009255,
ocd-division/country:uk/ute:poundstock,Poundstock,E05009234,
ocd-division/country:uk/ute:breage_germoe_and_sithney,"Breage, Germoe and Sithney",E05009163,
ocd-division/country:uk/ute:st_keverne_and_meneage,St. Keverne and Meneage,E05009259,
ocd-division/country:uk/ute:rame_peninsular,Rame Peninsular,E05009236,
ocd-division/country:uk/ute:crowan_and_wendron,Crowan and Wendron,E05009176,
ocd-division/country:uk/ute:chacewater_kenwyn_and_baldhu,"Chacewater, Kenwyn and Baldhu",E05009174,
ocd-division/country:uk/ute:perranporth,Perranporth,E05009231,
ocd-division/country:uk/ute:ladock_st_clement_and_st_erme,"Ladock, St. Clement and St. Erme",E05009194,
ocd-division/country:uk/ute:probus_tregony_and_grampound,"Probus, Tregony and Grampound",E05009235,
ocd-division/country:uk/ute:mevagissey,Mevagissey,E05009212,
ocd-division/country:uk/ute:fowey_and_tywardreath,Fowey and Tywardreath,E05009184,
ocd-division/country:uk/ute:st_columb_major,St. Columb Major,E05009250,
ocd-division/country:uk/ute:wadebridge_east,Wadebridge East,E05009279,
ocd-division/country:uk/ute:st_teath_and_st_breward,St. Teath and St. Breward,E05009264,
ocd-division/country:uk/ute:lostwithiel,Lostwithiel,E05009206,
ocd-division/country:uk/ute:st_germans_and_landulph,St. Germans and Landulph,E05009254,
ocd-division/country:uk/ute:st_cleer,St. Cleer,E05009249,
ocd-division/country:uk/ute:camelford,Camelford,E05009172,
ocd-division/country:uk/ute:altarnun,Altarnun,E05009159,
ocd-division/country:uk/ute:lynher,Lynher,E05009208,
ocd-division/country:uk/ute:stokeclimsland,Stokeclimsland,E05009269,
ocd-division/country:uk/ute:launceston_north_and_north_petherwin,Launceston North and North Petherwin,E05009198,
ocd-division/country:uk/ute:grenville_and_stratton,Grenville and Stratton,E05009185,
ocd-division/country:uk/ute:marazion_and_perranuthnoe,Marazion and Perranuthnoe,E05009210,
ocd-division/country:uk/ute:constantine_mawnan_and_budock,"Constantine, Mawnan and Budock",E05009175,
ocd-division/country:uk/ute:st_ives_west,St. Ives West,E05009257,
ocd-division/country:uk/ute:hayle_south,Hayle South,E05009190,
ocd-division/country:uk/ute:camborne_treswithian,Camborne Treswithian,E05009171,
ocd-division/country:uk/ute:camborne_treslothan,Camborne Treslothan,E05009170,
ocd-division/country:uk/ute:pool_and_tehidy,Pool and Tehidy,E05009232,
ocd-division/country:uk/ute:illogan,Illogan,E05009193,
ocd-division/country:uk/ute:redruth_north,Redruth North,E05009238,
ocd-division/country:uk/ute:mount_hawke_and_portreath,Mount Hawke and Portreath,E05009214,
ocd-division/country:uk/ute:lanner_and_stithians,Lanner and Stithians,E05009196,
ocd-division/country:uk/ute:mabe_perranarworthal_and_st_gluvias,"Mabe, Perranarworthal and St. Gluvias",E05009209,
ocd-division/country:uk/ute:penryn_east_and_mylor,Penryn East and Mylor,E05009225,
ocd-division/country:uk/ute:carharrack_gwennap_and_st_day,"Carharrack, Gwennap and St. Day",E05009173,
ocd-division/country:uk/ute:feock_and_playing_place,Feock and Playing Place,E05009182,
ocd-division/country:uk/ute:newlyn_and_goonhavern,Newlyn and Goonhavern,E05009216,
ocd-division/country:uk/ute:st_mewan,St. Mewan,E05009261,
ocd-division/country:uk/ute:st_stephen-in-brannel,St. Stephen-In-Brannel,E05009263,
ocd-division/country:uk/ute:st_enoder,St. Enoder,E05009253,
ocd-division/country:uk/ute:st_dennis_and_nanpean,St. Dennis and Nanpean,E05009251,
ocd-division/country:uk/ute:roche,Roche,E05009240,
ocd-division/country:uk/ute:st_austell_bay,St. Austell Bay,E05009243,
ocd-division/country:uk/ute:penwithick_and_boscoppa,Penwithick and Boscoppa,E05009227,
ocd-division/country:uk/ute:bugle,Bugle,E05009165,
ocd-division/country:uk/ute:st_blazey,St. Blazey,E05009247,
ocd-division/country:uk/ute:saltash_west,Saltash West,E05009268,
