id,name,ordnance_id
ocd-division/country:uk/wmc:henley_co,Henley Co,E14000742
ocd-division/country:uk/wmc:hereford_and_south_herefordshire_co,Hereford and South Herefordshire Co,E14000743
ocd-division/country:uk/wmc:hertford_and_stortford_co,Hertford and Stortford Co,E14000744
ocd-division/country:uk/wmc:hertsmere_co,Hertsmere Co,E14000745
ocd-division/country:uk/wmc:hexham_co,Hexham Co,E14000746
ocd-division/country:uk/wmc:heywood_and_middleton_co,Heywood and Middleton Co,E14000747
ocd-division/country:uk/wmc:high_peak_co,High Peak Co,E14000748
ocd-division/country:uk/wmc:hitchin_and_harpenden_co,Hitchin and Harpenden Co,E14000749
ocd-division/country:uk/wmc:holborn_and_st_pancras_boro,Holborn and St. Pancras Boro,E14000750
ocd-division/country:uk/wmc:hornchurch_and_upminster_boro,Hornchurch and Upminster Boro,E14000751
ocd-division/country:uk/wmc:hornsey_and_wood_green_boro,Hornsey and Wood Green Boro,E14000752
ocd-division/country:uk/wmc:horsham_co,Horsham Co,E14000753
ocd-division/country:uk/wmc:houghton_and_sunderland_south_boro,Houghton and Sunderland South Boro,E14000754
ocd-division/country:uk/wmc:hove_boro,Hove Boro,E14000755
ocd-division/country:uk/wmc:huddersfield_boro,Huddersfield Boro,E14000756
ocd-division/country:uk/wmc:huntingdon_co,Huntingdon Co,E14000757
ocd-division/country:uk/wmc:hyndburn_boro,Hyndburn Boro,E14000758
ocd-division/country:uk/wmc:ilford_north_boro,Ilford North Boro,E14000759
ocd-division/country:uk/wmc:ilford_south_boro,Ilford South Boro,E14000760
ocd-division/country:uk/wmc:inverclyde_co,Inverclyde Co,S14000038
ocd-division/country:uk/wmc:inverness_nairn_badenoch_and_strathspey_co,"Inverness, Nairn, Badenoch and Strathspey Co",S14000039
ocd-division/country:uk/wmc:ipswich_boro,Ipswich Boro,E14000761
ocd-division/country:uk/wmc:islington_north_boro,Islington North Boro,E14000763
ocd-division/country:uk/wmc:islington_south_and_finsbury_boro,Islington South and Finsbury Boro,E14000764
ocd-division/country:uk/wmc:islwyn_co,Islwyn Co,W07000077
ocd-division/country:uk/wmc:jarrow_boro,Jarrow Boro,E14000765
ocd-division/country:uk/wmc:keighley_co,Keighley Co,E14000766
ocd-division/country:uk/wmc:kenilworth_and_southam_co,Kenilworth and Southam Co,E14000767
ocd-division/country:uk/wmc:kensington_boro,Kensington Boro,E14000768
ocd-division/country:uk/wmc:kettering_co,Kettering Co,E14000769
ocd-division/country:uk/wmc:kilmarnock_and_loudoun_co,Kilmarnock and Loudoun Co,S14000040
ocd-division/country:uk/wmc:kingston_and_surbiton_boro,Kingston and Surbiton Boro,E14000770
ocd-division/country:uk/wmc:kingston_upon_hull_east_boro,Kingston upon Hull East Boro,E14000771
ocd-division/country:uk/wmc:kingston_upon_hull_north_boro,Kingston upon Hull North Boro,E14000772
ocd-division/country:uk/wmc:kingston_upon_hull_west_and_hessle_boro,Kingston upon Hull West and Hessle Boro,E14000773
ocd-division/country:uk/wmc:kingswood_boro,Kingswood Boro,E14000774
ocd-division/country:uk/wmc:knowsley_boro,Knowsley Boro,E14000775
ocd-division/country:uk/wmc:lanark_and_hamilton_east_co,Lanark and Hamilton East Co,S14000042
ocd-division/country:uk/wmc:lancaster_and_fleetwood_co,Lancaster and Fleetwood Co,E14000776
ocd-division/country:uk/wmc:leeds_central_boro,Leeds Central Boro,E14000777
ocd-division/country:uk/wmc:leeds_east_boro,Leeds East Boro,E14000778
ocd-division/country:uk/wmc:leeds_north_east_boro,Leeds North East Boro,E14000779
ocd-division/country:uk/wmc:leeds_north_west_boro,Leeds North West Boro,E14000780
ocd-division/country:uk/wmc:leeds_west_boro,Leeds West Boro,E14000781
ocd-division/country:uk/wmc:leicester_east_boro,Leicester East Boro,E14000782
ocd-division/country:uk/wmc:leicester_south_boro,Leicester South Boro,E14000783
ocd-division/country:uk/wmc:leicester_west_boro,Leicester West Boro,E14000784
ocd-division/country:uk/wmc:leigh_co,Leigh Co,E14000785
ocd-division/country:uk/wmc:lewes_co,Lewes Co,E14000786
ocd-division/country:uk/wmc:lewisham_deptford_boro,"Lewisham, Deptford Boro",E14000789
ocd-division/country:uk/wmc:lewisham_east_boro,Lewisham East Boro,E14000787
ocd-division/country:uk/wmc:lewisham_west_and_penge_boro,Lewisham West and Penge Boro,E14000788
ocd-division/country:uk/wmc:leyton_and_wanstead_boro,Leyton and Wanstead Boro,E14000790
ocd-division/country:uk/wmc:lichfield_co,Lichfield Co,E14000791
ocd-division/country:uk/wmc:lincoln_boro,Lincoln Boro,E14000792
ocd-division/country:uk/wmc:linlithgow_and_east_falkirk_co,Linlithgow and East Falkirk Co,S14000043
ocd-division/country:uk/wmc:liverpool_riverside_boro,"Liverpool, Riverside Boro",E14000793
ocd-division/country:uk/wmc:liverpool_walton_boro,"Liverpool, Walton Boro",E14000794
ocd-division/country:uk/wmc:liverpool_wavertree_boro,"Liverpool, Wavertree Boro",E14000795
ocd-division/country:uk/wmc:liverpool_west_derby_boro,"Liverpool, West Derby Boro",E14000796
ocd-division/country:uk/wmc:livingston_co,Livingston Co,S14000044
ocd-division/country:uk/wmc:llanelli_co,Llanelli Co,W07000045
ocd-division/country:uk/wmc:loughborough_co,Loughborough Co,E14000797
ocd-division/country:uk/wmc:louth_and_horncastle_co,Louth and Horncastle Co,E14000798
ocd-division/country:uk/wmc:ludlow_co,Ludlow Co,E14000799
ocd-division/country:uk/wmc:luton_north_boro,Luton North Boro,E14000800
ocd-division/country:uk/wmc:luton_south_boro,Luton South Boro,E14000801
ocd-division/country:uk/wmc:macclesfield_co,Macclesfield Co,E14000802
ocd-division/country:uk/wmc:maidenhead_co,Maidenhead Co,E14000803
ocd-division/country:uk/wmc:maidstone_and_the_weald_co,Maidstone and The Weald Co,E14000804
ocd-division/country:uk/wmc:makerfield_co,Makerfield Co,E14000805
ocd-division/country:uk/wmc:maldon_co,Maldon Co,E14000806
ocd-division/country:uk/wmc:manchester_central_boro,Manchester Central Boro,E14000807
ocd-division/country:uk/wmc:manchester_gorton_boro,"Manchester, Gorton Boro",E14000808
ocd-division/country:uk/wmc:manchester_withington_boro,"Manchester, Withington Boro",E14000809
ocd-division/country:uk/wmc:mansfield_co,Mansfield Co,E14000810
ocd-division/country:uk/wmc:meon_valley_co,Meon Valley Co,E14000811
