id,name,sameAs
ocd-division/country:ca/province:qc/fed:lachine-1968,Lachine,ocd-division/country:ca/province:qc/fed:lachine-lakeshore
ocd-division/country:ca/province:qc/fed:lafontaine,Lafontaine,ocd-division/country:ca/province:qc/fed:lafontaine-rosemont
ocd-division/country:ca/province:qc/fed:langelier,Langelier,ocd-division/country:ca/province:qc/fed:québec
ocd-division/country:ca/province:qc/fed:laprairie-1968,Laprairie,ocd-division/country:ca/province:qc/fed:la_prairie
ocd-division/country:ca/province:qc/fed:lasalle-1968,Lasalle,ocd-division/country:ca/province:qc/fed:lasalle-émard-côte_saint-paul
ocd-division/country:ca/province:qc/fed:laurier-2004,Laurier,ocd-division/country:ca/province:qc/fed:laurier-sainte-marie
ocd-division/country:ca/province:qc/fed:laval-1979,Laval,ocd-division/country:ca/province:qc/fed:laval_west
ocd-division/country:ca/province:qc/fed:laval-des-rapides,Laval-des-Rapides,ocd-division/country:ca/province:qc/fed:laval_centre
ocd-division/country:ca/province:qc/fed:longueuil,Longueuil,ocd-division/country:ca/province:qc/fed:longueuil-saint-hubert
ocd-division/country:ca/province:qc/fed:lotbinière,Lotbinière,ocd-division/country:ca/province:qc/fed:lotbinière-l~érable
ocd-division/country:ca/province:qc/fed:lévis,Lévis,ocd-division/country:ca/province:qc/fed:lévis-et-chutes-de-la-chaudière
ocd-division/country:ca/province:qc/fed:maisonneuve-1968,Maisonneuve,ocd-division/country:ca/province:qc/fed:maisonneuve-rosemont
ocd-division/country:ca/province:qc/fed:matapédia-matane-1979,Matapédia—Matane,ocd-division/country:ca/province:qc/fed:haute-gaspésie-la_mitis-matane-matapédia
ocd-division/country:ca/province:qc/fed:mercier-1935,Mercier,ocd-division/country:ca/province:qc/fed:montreal-mercier
ocd-division/country:ca/province:qc/fed:missisquoi-1968,Missisquoi,ocd-division/country:ca/province:qc/fed:brome-missisquoi
ocd-division/country:ca/province:qc/fed:missisquoi-1979,Missisquoi,ocd-division/country:ca/province:qc/fed:brome-missisquoi
ocd-division/country:ca/province:qc/fed:montmorency-1968,Montmorency,ocd-division/country:ca/province:qc/fed:beauport-montmorency-côte-de-beaupré-île-d~orléans
ocd-division/country:ca/province:qc/fed:montmorency-orléans,Montmorency—Orléans,ocd-division/country:ca/province:qc/fed:beauport-montmorency-côte-de-beaupré-île-d~orléans
ocd-division/country:ca/province:qc/fed:nunavik-eeyou,Nunavik—Eeyou,ocd-division/country:ca/province:qc/fed:abitibi-baie-james-nunavik-eeyou
ocd-division/country:ca/province:qc/fed:pontiac-1968,Pontiac,ocd-division/country:ca/province:qc/fed:pontiac-gatineau-labelle
ocd-division/country:ca/province:qc/fed:portneuf,Portneuf,ocd-division/country:ca/province:qc/fed:portneuf-jacques-cartier
ocd-division/country:ca/province:qc/fed:richelieu-1968,Richelieu,ocd-division/country:ca/province:qc/fed:bas-richelieu-nicolet-bécancour
ocd-division/country:ca/province:qc/fed:richelieu-2004,Richelieu,ocd-division/country:ca/province:qc/fed:bas-richelieu-nicolet-bécancour
ocd-division/country:ca/province:qc/fed:richmond,Richmond,ocd-division/country:ca/province:qc/fed:richmond-wolfe
ocd-division/country:ca/province:qc/fed:rimouski,Rimouski,ocd-division/country:ca/province:qc/fed:rimouski-neigette-et-la_mitis
ocd-division/country:ca/province:qc/fed:rimouski-1997,Rimouski,ocd-division/country:ca/province:qc/fed:rimouski-neigette-et-la_mitis
ocd-division/country:ca/province:qc/fed:rimouski-mitis,Rimouski—Mitis,ocd-division/country:ca/province:qc/fed:rimouski-neigette-et-la_mitis
ocd-division/country:ca/province:qc/fed:rimouski-témiscouata,Rimouski—Témiscouata,ocd-division/country:ca/province:qc/fed:rimouski-neigette-témiscouata-les_basques
ocd-division/country:ca/province:qc/fed:rimouski-témiscouata-2004,Rimouski—Témiscouata,ocd-division/country:ca/province:qc/fed:rimouski-neigette-témiscouata-les_basques
ocd-division/country:ca/province:qc/fed:roberval,Roberval,ocd-division/country:ca/province:qc/fed:roberval-lac-saint-jean
ocd-division/country:ca/province:qc/fed:rosemont,Rosemont,ocd-division/country:ca/province:qc/fed:rosemont-petite-patrie
ocd-division/country:ca/province:qc/fed:saint-eustache-sainte-thérèse,Saint-Eustache—Sainte-Thérèse,ocd-division/country:ca/province:qc/fed:rivière-des-mille-îles
ocd-division/country:ca/province:qc/fed:saint-hubert,Saint-Hubert,ocd-division/country:ca/province:qc/fed:saint-bruno-saint-hubert
ocd-division/country:ca/province:qc/fed:saint-hyacinthe,Saint-Hyacinthe,ocd-division/country:ca/province:qc/fed:saint-hyacinthe-bagot
ocd-division/country:ca/province:qc/fed:saint-laurent-1988,Saint-Laurent,ocd-division/country:ca/province:qc/fed:saint-laurent-cartierville
ocd-division/country:ca/province:qc/fed:saint-michel,Saint-Michel,ocd-division/country:ca/province:qc/fed:saint-michel-ahuntsic
ocd-division/country:ca/province:qc/fed:sainte-marie-1979,Sainte-Marie,ocd-division/country:ca/province:qc/fed:montreal-sainte_marie
ocd-division/country:ca/province:qc/fed:trois-rivières-1949,Trois-Rivières,ocd-division/country:ca/province:qc/fed:trois-rivières_métropolitain
ocd-division/country:ca/province:qc/fed:témiscouata,Témiscouata,ocd-division/country:ca/province:qc/fed:rivière-du-loup-témiscouata
ocd-division/country:ca/province:qc/fed:témiscouata-1968,Témiscouata,ocd-division/country:ca/province:qc/fed:rivière-du-loup-témiscouata
ocd-division/country:ca/province:qc/fed:vaudreuil-1968,Vaudreuil,ocd-division/country:ca/province:qc/fed:vaudreuil-soulanges
ocd-division/country:ca/province:qc/fed:verchères-1979,Verchères,ocd-division/country:ca/province:qc/fed:verchères-les_patriotes
ocd-division/country:ca/province:qc/fed:verdun-1953,Verdun,ocd-division/country:ca/province:qc/fed:verdun-saint-paul
ocd-division/country:ca/province:qc/fed:verdun-saint-henri,Verdun—Saint-Henri,ocd-division/country:ca/province:qc/fed:verdun-saint-henri-saint-paul-pointe_saint-charles
ocd-division/country:ca/province:qc/fed:westmount,Westmount,ocd-division/country:ca/province:qc/fed:saint-henri-westmount
ocd-division/country:ca/province:sk/fed:churchill_river,Churchill River,ocd-division/country:ca/province:sk/fed:desnethé-missinippi-churchill_river
ocd-division/country:ca/province:sk/fed:qu~appelle-1997,Qu'Appelle,ocd-division/country:ca/province:sk/fed:regina-qu~appelle
ocd-division/country:ca/province:sk/fed:regina-arm_river,Regina—Arm River,ocd-division/country:ca/province:sk/fed:regina-lumsden-lake_centre
ocd-division/country:ca/province:sk/fed:saskatoon-rosetown,Saskatoon—Rosetown,ocd-division/country:ca/province:sk/fed:saskatoon-rosetown-biggar
ocd-division/country:ca/province:sk/fed:wanuskewin,Wanuskewin,ocd-division/country:ca/province:sk/fed:saskatoon-wanuskewin
