id,name,validFrom,validThrough
ocd-division/country:ca/province:nb/ed:st._john_city_of_,St. John (City of ),1867-08-06,1917-10-05
ocd-division/country:ca/province:nb/ed:sunbury,Sunbury,1867-08-06,1896-04-23
ocd-division/country:ca/province:nb/ed:sunbury-queen~s,Sunbury—Queen's,1896-04-24,1917-10-05
ocd-division/country:ca/province:nb/ed:victoria,Victoria,1867-08-06,1917-10-05
ocd-division/country:ca/province:nb/ed:victoria-carleton,Victoria—Carleton,1917-10-06,1968-04-22
ocd-division/country:ca/province:nb/ed:westmorland,Westmorland,1867-08-06,1968-04-22
ocd-division/country:ca/province:nb/ed:westmorland-kent,Westmorland—Kent,1968-04-23,1988-09-30
ocd-division/country:ca/province:nb/ed:york,York,1867-08-06,1917-10-05
ocd-division/country:ca/province:nb/ed:york-sunbury,York—Sunbury,1917-10-06,1988-09-30
ocd-division/country:ca/province:nl/ed:bonavista-gander-grand_falls-windsor,Bonavista—Gander—Grand Falls—Windsor,2004-09-01,2015-08-01
ocd-division/country:ca/province:nl/ed:bonavista-trinity-conception,Bonavista—Trinity—Conception,1968-04-23,2004-05-22
ocd-division/country:ca/province:nl/ed:bonavista-twillingate,Bonavista—Twillingate,1949-04-30,1968-04-22
ocd-division/country:ca/province:nl/ed:burin-burgeo,Burin—Burgeo,1949-04-30,1979-03-25
ocd-division/country:ca/province:nl/ed:burin-st._george~s,Burin—St. George's,1979-03-26,2004-05-22
ocd-division/country:ca/province:nl/ed:gander-grand_falls,Gander—Grand Falls,1988-10-01,2004-05-22
ocd-division/country:ca/province:nl/ed:gander-twillingate,Gander—Twillingate,1968-04-23,1988-09-30
ocd-division/country:ca/province:nl/ed:grand_falls-white_bay,Grand Falls—White Bay,1949-04-30,1953-06-12
ocd-division/country:ca/province:nl/ed:grand_falls-white_bay-labrador,Grand Falls—White Bay—Labrador,1953-06-13,1988-09-30
ocd-division/country:ca/province:nl/ed:humber-port_au_port-st._barbe,Humber—Port au Port—St. Barbe,1979-03-26,1988-09-30
ocd-division/country:ca/province:nl/ed:humber-st._barbe-baie_verte,Humber—St. Barbe—Baie Verte,1988-10-01,2015-08-01
ocd-division/country:ca/province:nl/ed:humber-st._george~s,Humber—St. George's,1949-04-30,1968-04-22
ocd-division/country:ca/province:nl/ed:humber-st._george~s-st._barbe,Humber—St. George's—St. Barbe,1968-04-23,1979-03-25
ocd-division/country:ca/province:nl/ed:random-burin-st._george~s,Random—Burin—St. George's,2004-05-23,2015-08-01
ocd-division/country:ca/province:nl/ed:st._john~s_east,St. John's East,1949-04-30,2004-05-22
ocd-division/country:ca/province:nl/ed:st._john~s_west,St. John's West,1949-04-30,2004-05-22
ocd-division/country:ca/province:nl/ed:trinity-conception,Trinity—Conception,1949-04-30,1968-04-22
ocd-division/country:ca/province:ns/ed:annapolis,Annapolis,1867-08-06,1917-10-05
