id,name,name_fr,validFrom
ocd-division/country:ca/ed:47010-2013,Saskatoon—Grasswood,Saskatoon—Grasswood,2015-10-19
ocd-division/country:ca/ed:47011-2013,Saskatoon—University,Saskatoon—University,2015-10-19
ocd-division/country:ca/ed:47012-2013,Saskatoon West,Saskatoon-Ouest,2015-10-19
ocd-division/country:ca/ed:47013-2013,Souris—Moose Mountain,Souris—Moose Mountain,2015-10-19
ocd-division/country:ca/ed:47014-2013,Yorkton—Melville,Yorkton—Melville,2015-10-19
ocd-division/country:ca/ed:48001-2013,Banff—Airdrie,Banff—Airdrie,2015-10-19
ocd-division/country:ca/ed:48002-2013,Battle River—Crowfoot,Battle River—Crowfoot,2015-10-19
ocd-division/country:ca/ed:48003-2013,Bow River,Bow River,2015-10-19
ocd-division/country:ca/ed:48004-2013,Calgary Centre,Calgary-Centre,2015-10-19
ocd-division/country:ca/ed:48005-2013,Calgary Confederation,Calgary Confederation,2015-10-19
ocd-division/country:ca/ed:48006-2013,Calgary Forest Lawn,Calgary Forest Lawn,2015-10-19
ocd-division/country:ca/ed:48007-2013,Calgary Heritage,Calgary Heritage,2015-10-19
ocd-division/country:ca/ed:48008-2013,Calgary Midnapore,Calgary Midnapore,2015-10-19
ocd-division/country:ca/ed:48009-2013,Calgary Nose Hill,Calgary Nose Hill,2015-10-19
ocd-division/country:ca/ed:48010-2013,Calgary Rocky Ridge,Calgary Rocky Ridge,2015-10-19
ocd-division/country:ca/ed:48011-2013,Calgary Shepard,Calgary Shepard,2015-10-19
ocd-division/country:ca/ed:48012-2013,Calgary Signal Hill,Calgary Signal Hill,2015-10-19
ocd-division/country:ca/ed:48013-2013,Calgary Skyview,Calgary Skyview,2015-10-19
ocd-division/country:ca/ed:48014-2013,Edmonton Centre,Edmonton-Centre,2015-10-19
ocd-division/country:ca/ed:48015-2013,Edmonton Griesbach,Edmonton Griesbach,2015-10-19
