id,name,validFrom
ocd-division/country:ca/province:on/fed:scarborough-guildwood,Scarborough—Guildwood,2004-05-23
ocd-division/country:ca/province:on/fed:scarborough-rouge_park,Scarborough—Rouge Park,2015-08-02
ocd-division/country:ca/province:on/fed:scarborough_centre,Scarborough Centre,1979-03-26
ocd-division/country:ca/province:on/fed:scarborough_north,Scarborough North,2015-08-02
ocd-division/country:ca/province:on/fed:scarborough_southwest,Scarborough Southwest,1997-04-27
ocd-division/country:ca/province:on/fed:simcoe-grey,Simcoe—Grey,1997-04-27
ocd-division/country:ca/province:on/fed:simcoe_north,Simcoe North,1867-08-06
ocd-division/country:ca/province:on/fed:spadina-fort_york,Spadina—Fort York,2015-08-02
ocd-division/country:ca/province:on/fed:st._catharines,St. Catharines,1968-04-23
ocd-division/country:ca/province:on/fed:stormont-dundas-south_glengarry,Stormont—Dundas—South Glengarry,2004-05-23
ocd-division/country:ca/province:on/fed:sudbury,Sudbury,1949-04-30
ocd-division/country:ca/province:on/fed:thornhill,Thornhill,1997-04-27
ocd-division/country:ca/province:on/fed:thunder_bay-rainy_river,Thunder Bay—Rainy River,2004-05-23
ocd-division/country:ca/province:on/fed:thunder_bay-superior_north,Thunder Bay—Superior North,1998-06-18
ocd-division/country:ca/province:on/fed:timmins-james_bay,Timmins—James Bay,1997-04-27
ocd-division/country:ca/province:on/fed:toronto-danforth,Toronto—Danforth,2000-06-29
ocd-division/country:ca/province:on/fed:toronto-st._paul~s,Toronto—St. Paul's,2015-08-02
ocd-division/country:ca/province:on/fed:toronto_centre-2004,Toronto Centre,2004-05-23
ocd-division/country:ca/province:on/fed:university-rosedale,University—Rosedale,2015-08-02
ocd-division/country:ca/province:on/fed:vaughan-woodbridge,Vaughan—Woodbridge,2015-08-02
ocd-division/country:ca/province:on/fed:waterloo-2015,Waterloo,2015-08-02
ocd-division/country:ca/province:on/fed:wellington-halton_hills,Wellington—Halton Hills,2004-05-23
ocd-division/country:ca/province:on/fed:whitby,Whitby,2015-08-02
ocd-division/country:ca/province:on/fed:willowdale,Willowdale,1979-03-26
ocd-division/country:ca/province:on/fed:windsor-tecumseh,Windsor—Tecumseh,2004-05-23
ocd-division/country:ca/province:on/fed:windsor_west,Windsor West,1968-04-23
ocd-division/country:ca/province:on/fed:york-simcoe-2004,York—Simcoe,2004-05-23
ocd-division/country:ca/province:on/fed:york_centre-1953,York Centre,1953-06-13
ocd-division/country:ca/province:on/fed:york_south-weston,York South—Weston,1979-03-26
ocd-division/country:ca/province:pe/fed:cardigan,Cardigan,1968-04-23
ocd-division/country:ca/province:pe/fed:charlottetown,Charlottetown,2004-05-23
ocd-division/country:ca/province:pe/fed:egmont,Egmont,1968-04-23
ocd-division/country:ca/province:pe/fed:malpeque,Malpeque,1968-04-23
ocd-division/country:ca/province:qc/fed:abitibi-baie-james-nunavik-eeyou,Abitibi—Baie-James—Nunavik—Eeyou,2004-09-01
ocd-division/country:ca/province:qc/fed:abitibi-témiscamingue,Abitibi—Témiscamingue,2004-05-23
ocd-division/country:ca/province:qc/fed:ahuntsic-cartierville,Ahuntsic-Cartierville,2015-08-02
ocd-division/country:ca/province:qc/fed:alfred-pellan,Alfred-Pellan,2004-05-23
ocd-division/country:ca/province:qc/fed:argenteuil-la_petite-nation,Argenteuil—La Petite-Nation,2015-08-02
ocd-division/country:ca/province:qc/fed:avignon-la_mitis-matane-matapédia,Avignon—La Mitis—Matane—Matapédia,2015-08-02
ocd-division/country:ca/province:qc/fed:beauce,Beauce,1867-08-06
ocd-division/country:ca/province:qc/fed:beauport-côte-de-beaupré-île_d~orléans-charlevoix,Beauport—Côte-de-Beaupré—Île D’Orléans—Charlevoix,2015-08-02
ocd-division/country:ca/province:qc/fed:beauport-limoilou,Beauport—Limoilou,2004-09-01
ocd-division/country:ca/province:qc/fed:bellechasse-les_etchemins-lévis,Bellechasse—Les Etchemins—Lévis,2015-08-02
ocd-division/country:ca/province:qc/fed:beloeil-chambly,Beloeil—Chambly,2015-08-02
ocd-division/country:ca/province:qc/fed:berthier-maskinongé-2004,Berthier—Maskinongé,2004-05-23
ocd-division/country:ca/province:qc/fed:bourassa,Bourassa,1979-03-26
ocd-division/country:ca/province:qc/fed:brome-missisquoi-1984,Brome—Missisquoi,1984-07-09
ocd-division/country:ca/province:qc/fed:brossard-saint-lambert,Brossard—Saint-Lambert,2015-08-02
ocd-division/country:ca/province:qc/fed:bécancour-nicolet-saurel,Bécancour—Nicolet—Saurel,2015-08-02
ocd-division/country:ca/province:qc/fed:charlesbourg-haute-saint-charles,Charlesbourg—Haute-Saint-Charles,2004-09-01
ocd-division/country:ca/province:qc/fed:chicoutimi-le_fjord,Chicoutimi—Le Fjord,2015-08-02
ocd-division/country:ca/province:qc/fed:châteauguay-lacolle,Châteauguay—Lacolle,2015-08-02
ocd-division/country:ca/province:qc/fed:compton-stanstead,Compton—Stanstead,1997-04-27
ocd-division/country:ca/province:qc/fed:dorval-lachine-lasalle,Dorval—Lachine—LaSalle,2015-08-02
ocd-division/country:ca/province:qc/fed:drummond,Drummond,1968-04-23
ocd-division/country:ca/province:qc/fed:gaspésie-les_îles-de-la-madeleine,Gaspésie—Les Îles-de-la-Madeleine,2015-08-02
ocd-division/country:ca/province:qc/fed:gatineau-1997,Gatineau,1997-04-27
ocd-division/country:ca/province:qc/fed:hochelaga,Hochelaga,2004-05-23
ocd-division/country:ca/province:qc/fed:honoré-mercier,Honoré-Mercier,2004-05-23
