id,name,name_fr,validFrom,validThrough
ocd-division/country:ca/ed:35110,University—Rosedale,University—Rosedale,2015-10-19,""
ocd-division/country:ca/ed:35111,Vaughan—Woodbridge,Vaughan—Woodbridge,2015-10-19,""
ocd-division/country:ca/ed:35112,Waterloo,Waterloo,2015-10-19,""
ocd-division/country:ca/ed:35113,Wellington—Halton Hills,Wellington—Halton Hills,2015-10-19,""
ocd-division/country:ca/ed:35114,Whitby,Whitby,2015-10-19,""
ocd-division/country:ca/ed:35115,Willowdale,Willowdale,2015-10-19,""
ocd-division/country:ca/ed:35116,Windsor—Tecumseh,Windsor—Tecumseh,2015-10-19,""
ocd-division/country:ca/ed:35117,Windsor West,Windsor-Ouest,2015-10-19,""
ocd-division/country:ca/ed:35118,York Centre,York-Centre,2015-10-19,""
ocd-division/country:ca/ed:35119,York—Simcoe,York—Simcoe,2015-10-19,""
ocd-division/country:ca/ed:35120,York South—Weston,York-Sud—Weston,2015-10-19,""
ocd-division/country:ca/ed:35121,Humber River—Black Creek,Humber River—Black Creek,2015-10-19,""
ocd-division/country:ca/ed:46001,Brandon—Souris,Brandon—Souris,"",""
ocd-division/country:ca/ed:46002,Charleswood—St. James—Assiniboia—Headingley,Charleswood—St. James—Assiniboia—Headingley,"",""
ocd-division/country:ca/ed:46003,Churchill—Keewatinook Aski,Churchill—Keewatinook Aski,"",""
ocd-division/country:ca/ed:46004,Dauphin—Swan River—Neepawa,Dauphin—Swan River—Neepawa,"",""
ocd-division/country:ca/ed:46005,Elmwood—Transcona,Elmwood—Transcona,"",""
ocd-division/country:ca/ed:46006,Kildonan—St. Paul,Kildonan—St. Paul,"",""
ocd-division/country:ca/ed:46007,Portage—Lisgar,Portage—Lisgar,"",""
ocd-division/country:ca/ed:46008,Provencher,Provencher,"",""
ocd-division/country:ca/ed:46009,Saint Boniface—Saint Vital,Saint-Boniface—Saint-Vital,"",""
ocd-division/country:ca/ed:46010,Selkirk—Interlake—Eastman,Selkirk—Interlake—Eastman,"",""
ocd-division/country:ca/ed:46011,Winnipeg Centre,Winnipeg-Centre,"",""
