USPS	GEOID	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
LA	22001	State Senate District 1	89479	39652	3480610991	9311093475	    1343.871	    3595.033	 29.660708	 -89.440068                                                                                     
LA	22002	State Senate District 2	65868	31426	195890409	36009506	      75.634	      13.903	 30.058819	 -89.908059                                                                                        
LA	22003	State Senate District 3	79418	40279	68906571	7106982	      26.605	       2.744	 30.011286	 -90.032355                                                                                          
LA	22004	State Senate District 4	71484	46370	39484516	1929992	      15.245	       0.745	 29.990797	 -90.090308                                                                                          
LA	22005	State Senate District 5	82088	49093	28247740	2206540	      10.907	       0.852	 29.940227	 -90.095170                                                                                          
LA	22006	State Senate District 6	137299	60616	660062689	79037783	     254.852	      30.517	 30.362846	 -90.358594                                                                                       
LA	22007	State Senate District 7	110828	48544	156539471	21502160	      60.440	       8.302	 29.861326	 -90.017440                                                                                       
LA	22008	State Senate District 8	113097	44906	564571266	623649971	     217.982	     240.793	 29.539349	 -90.068187                                                                                      
LA	22009	State Senate District 9	108304	52549	53501218	1665074	      20.657	       0.643	 29.988630	 -90.183701                                                                                         
LA	22010	State Senate District 10	105968	45300	58079932	5205760	      22.425	       2.010	 29.993071	 -90.241062                                                                                        
LA	22011	State Senate District 11	143310	57816	903204699	17041486	     348.729	       6.580	 30.408722	 -90.061652                                                                                      
LA	22012	State Senate District 12	136047	58232	4564682485	51925953	    1762.434	      20.049	 30.765913	 -90.217752                                                                                     
LA	22013	State Senate District 13	155195	61018	1131198270	4004815	     436.758	       1.546	 30.524152	 -90.811115                                                                                      
LA	22014	State Senate District 14	121462	52984	163929649	14717323	      63.294	       5.682	 30.423341	 -91.128055                                                                                      
LA	22015	State Senate District 15	121366	46446	437896615	18391838	     169.073	       7.101	 30.597341	 -91.170982                                                                                      
LA	22016	State Senate District 16	132457	60643	186129911	2206091	      71.865	       0.852	 30.389075	 -91.043264                                                                                       
LA	22017	State Senate District 17	122268	50197	5459999697	215203168	    2108.118	      83.090	 30.776039	 -90.936521                                                                                    
LA	22018	State Senate District 18	156556	61547	2288171591	288979685	     883.468	     111.576	 30.174110	 -90.743536                                                                                    
LA	22019	State Senate District 19	127628	49299	1663475572	646624916	     642.272	     249.663	 29.936340	 -90.464093                                                                                    
LA	22020	State Senate District 20	123147	48997	3966098031	3159290994	    1531.319	    1219.809	 29.317763	 -90.598181                                                                                   
LA	22021	State Senate District 21	129413	53523	4120952805	1683256253	    1591.109	     649.909	 29.693969	 -91.261392                                                                                   
LA	22022	State Senate District 22	123957	50488	2939625842	1293415618	    1134.996	     499.391	 29.930914	 -91.748524                                                                                   
LA	22023	State Senate District 23	139567	60671	311915866	674374	     120.431	       0.260	 30.150190	 -92.026213                                                                                        
LA	22024	State Senate District 24	108381	44879	1333621562	11695389	     514.914	       4.516	 30.562594	 -92.068340                                                                                     
LA	22025	State Senate District 25	117807	49602	6705716073	1737021346	    2589.092	     670.668	 30.001367	 -93.044273                                                                                   
LA	22026	State Senate District 26	127335	53028	4199992144	956203681	    1621.626	     369.192	 29.924836	 -92.298483                                                                                    
LA	22027	State Senate District 27	115287	50139	478986221	37591004	     184.938	      14.514	 30.250201	 -93.255405                                                                                      
LA	22028	State Senate District 28	117984	49668	6121523272	126597400	    2363.533	      48.880	 30.767955	 -92.353717                                                                                    
LA	22029	State Senate District 29	111461	47659	3013389620	100435269	    1163.476	      38.778	 31.177087	 -92.570928                                                                                    
LA	22030	State Senate District 30	116727	48361	7971479396	74003751	    3077.806	      28.573	 30.774325	 -93.309215                                                                                     
LA	22031	State Senate District 31	117370	55518	10195067427	572520943	    3936.338	     221.052	 31.722640	 -93.016986                                                                                   
LA	22032	State Senate District 32	111685	47859	11156774830	495974283	    4307.655	     191.497	 31.694154	 -91.856772                                                                                   
LA	22033	State Senate District 33	110088	48717	6758869803	152270581	    2609.614	      58.792	 32.823849	 -92.151024                                                                                    
LA	22034	State Senate District 34	101227	41662	5551516965	239288609	    2143.453	      92.390	 32.329424	 -91.371411                                                                                    
LA	22035	State Senate District 35	119540	52477	3199203063	46735487	    1235.219	      18.045	 32.440480	 -92.549805                                                                                     
LA	22036	State Senate District 36	119479	54067	6993261175	184368908	    2700.113	      71.185	 32.549320	 -93.301990                                                                                    
LA	22037	State Senate District 37	114690	52773	289045589	17047063	     111.601	       6.582	 32.481242	 -93.654232                                                                                      
LA	22038	State Senate District 38	120165	51847	3185684747	69218156	    1230.000	      26.725	 32.148723	 -93.766178                                                                                     
LA	22039	State Senate District 39	107940	46129	1300286104	125052960	     502.043	      48.283	 32.736941	 -93.904777                                                                                    
LA	22ZZZ	State Senate Districts not defined	0	0	625	1329978679	       0.000	     513.508	 30.250194	 -89.865967                                                                                         
ME	23001	State Senate District 1	36335	21180	332932201	27565200	     128.546	      10.643	 43.193004	 -70.706282                                                                                        
ME	23002	State Senate District 2	40272	24727	1049067710	30304085	     405.047	      11.700	 43.510621	 -70.836370                                                                                       
ME	23003	State Senate District 3	39567	18058	547188515	16397364	     211.271	       6.331	 43.552942	 -70.714884                                                                                        
ME	23004	State Senate District 4	37579	19769	258808464	22912730	      99.927	       8.847	 43.422175	 -70.498691                                                                                        
ME	23005	State Senate District 5	39097	20238	295024287	24073031	     113.910	       9.295	 43.568474	 -70.494236                                                                                        
ME	23006	State Senate District 6	40612	16804	251557662	2565406	      97.127	       0.991	 43.658806	 -70.414203                                                                                         
ME	23007	State Senate District 7	37687	17478	89318886	1358955	      34.486	       0.525	 43.593723	 -70.268499                                                                                          
ME	23008	State Senate District 8	36450	20199	29124510	40177	      11.245	       0.016	 43.662754	 -70.261086                                                                                            
ME	23009	State Senate District 9	38256	17380	53036080	1484187	      20.477	       0.573	 43.713001	 -70.314797                                                                                          
ME	23010	State Senate District 10	34371	18110	332753765	5012997	     128.477	       1.936	 43.864507	 -70.050041                                                                                        
ME	23011	State Senate District 11	38642	17573	349854456	12279562	     135.080	       4.741	 43.819882	 -70.279798                                                                                       
