id,name,census_geoid,validThrough
ocd-division/country:us/state:oh/cd:12,Ohio's 12th congressional district,cd-3912,
ocd-division/country:us/state:oh/cd:13,Ohio's 13th congressional district,cd-3913,
ocd-division/country:us/state:oh/cd:14,Ohio's 14th congressional district,cd-3914,
ocd-division/country:us/state:oh/cd:15,Ohio's 15th congressional district,cd-3915,
ocd-division/country:us/state:oh/cd:16,Ohio's 16th congressional district,cd-3916,
ocd-division/country:us/state:oh/cd:1,Ohio's 1st congressional district,cd-3901,
ocd-division/country:us/state:oh/cd:2,Ohio's 2nd congressional district,cd-3902,
ocd-division/country:us/state:oh/cd:3,Ohio's 3rd congressional district,cd-3903,
ocd-division/country:us/state:oh/cd:4,Ohio's 4th congressional district,cd-3904,
ocd-division/country:us/state:oh/cd:5,Ohio's 5th congressional district,cd-3905,
ocd-division/country:us/state:oh/cd:6,Ohio's 6th congressional district,cd-3906,
ocd-division/country:us/state:oh/cd:7,Ohio's 7th congressional district,cd-3907,
ocd-division/country:us/state:oh/cd:8,Ohio's 8th congressional district,cd-3908,
ocd-division/country:us/state:oh/cd:9,Ohio's 9th congressional district,cd-3909,
ocd-division/country:us/state:ok/cd:1,Oklahoma's 1st congressional district,cd-4001,
ocd-division/country:us/state:ok/cd:2,Oklahoma's 2nd congressional district,cd-4002,
ocd-division/country:us/state:ok/cd:3,Oklahoma's 3rd congressional district,cd-4003,
ocd-division/country:us/state:ok/cd:4,Oklahoma's 4th congressional district,cd-4004,
ocd-division/country:us/state:ok/cd:5,Oklahoma's 5th congressional district,cd-4005,
ocd-division/country:us/state:or/cd:1,Oregon's 1st congressional district,cd-4101,
ocd-division/country:us/state:or/cd:2,Oregon's 2nd congressional district,cd-4102,
ocd-division/country:us/state:or/cd:3,Oregon's 3rd congressional district,cd-4103,
ocd-division/country:us/state:or/cd:4,Oregon's 4th congressional district,cd-4104,
ocd-division/country:us/state:or/cd:5,Oregon's 5th congressional district,cd-4105,
ocd-division/country:us/state:pa/cd:10,Pennsylvania's 10th congressional district,cd-4210,
ocd-division/country:us/state:pa/cd:11,Pennsylvania's 11th congressional district,cd-4211,
ocd-division/country:us/state:pa/cd:12,Pennsylvania's 12th congressional district,cd-4212,
ocd-division/country:us/state:pa/cd:13,Pennsylvania's 13th congressional district,cd-4213,
ocd-division/country:us/state:pa/cd:14,Pennsylvania's 14th congressional district,cd-4214,
ocd-division/country:us/state:pa/cd:15,Pennsylvania's 15th congressional district,cd-4215,
ocd-division/country:us/state:pa/cd:16,Pennsylvania's 16th congressional district,cd-4216,
ocd-division/country:us/state:pa/cd:17,Pennsylvania's 17th congressional district,cd-4217,
ocd-division/country:us/state:pa/cd:18,Pennsylvania's 18th congressional district,cd-4218,
