id,name,sameAs,sameAsNote,validFrom,validThrough
ocd-division/country:my/state:08/ed:p058,Bagan Serai,ocd-division/country:my/state:08/ed:bagan_serai,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p059,Bukit Gantang,ocd-division/country:my/state:08/ed:bukit_gantang,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p060,Taiping,ocd-division/country:my/state:08/ed:taiping,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p061,Padang Rengas,ocd-division/country:my/state:08/ed:padang_rengas,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p062,Sungai Siput,ocd-division/country:my/state:08/ed:sungai_siput,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p063,Tambun,ocd-division/country:my/state:08/ed:tambun,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p064,Ipoh Timor,ocd-division/country:my/state:08/ed:ipoh_timor,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p065,Ipoh Barat,ocd-division/country:my/state:08/ed:ipoh_barat,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p066,Batu Gajah,ocd-division/country:my/state:08/ed:batu_gajah,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p067,Kuala Kangsar,ocd-division/country:my/state:08/ed:kuala_kangsar,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p068,Beruas,ocd-division/country:my/state:08/ed:beruas,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p069,Parit,ocd-division/country:my/state:08/ed:parit,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p070,Kampar,ocd-division/country:my/state:08/ed:kampar,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p071,Gopeng,ocd-division/country:my/state:08/ed:gopeng,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p072,Tapah,ocd-division/country:my/state:08/ed:tapah,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p073,Pasir Salak,ocd-division/country:my/state:08/ed:pasir_salak,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p074,Lumut,ocd-division/country:my/state:08/ed:lumut,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p075,Bagan Datok,ocd-division/country:my/state:08/ed:bagan_datok,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p076,Telok Intan,ocd-division/country:my/state:08/ed:telok_intan,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:p077,Tanjong Malim,ocd-division/country:my/state:08/ed:tanjong_malim,Added for backwards compatability,,
ocd-division/country:my/state:08/ed:padang_rengas,Padang Rengas,,,,
ocd-division/country:my/state:08/ed:parit,Parit,,,,
ocd-division/country:my/state:08/ed:parit_buntar,Parit Buntar,,,,
ocd-division/country:my/state:08/ed:pasir_salak,Pasir Salak,,,,
ocd-division/country:my/state:08/ed:sungai_siput,Sungai Siput,,,,
ocd-division/country:my/state:08/ed:taiping,Taiping,,,,
ocd-division/country:my/state:08/ed:tambun,Tambun,,,,
ocd-division/country:my/state:08/ed:tanjong_malim,Tanjong Malim,,,,
ocd-division/country:my/state:08/ed:tapah,Tapah,,,,
ocd-division/country:my/state:08/ed:telok_intan,Telok Intan,,,,
ocd-division/country:my/state:09,Perlis,,,,
ocd-division/country:my/state:09/ed:arau,Arau,,,,
ocd-division/country:my/state:09/ed:kangar,Kangar,,,,
ocd-division/country:my/state:09/ed:p001,Padang Besar,ocd-division/country:my/state:09/ed:padang_besar,Added for backwards compatability,,
ocd-division/country:my/state:09/ed:p002,Kangar,ocd-division/country:my/state:09/ed:kangar,Added for backwards compatability,,
ocd-division/country:my/state:09/ed:p003,Arau,ocd-division/country:my/state:09/ed:arau,Added for backwards compatability,,
ocd-division/country:my/state:09/ed:padang_besar,Padang Besar,,,,
ocd-division/country:my/state:10,Selangor,,,,
ocd-division/country:my/state:10/ed:ampang,Ampang,,,,
ocd-division/country:my/state:10/ed:bangi,Bangi,,,,
ocd-division/country:my/state:10/ed:damansara,Damansara,,,,
ocd-division/country:my/state:10/ed:gombak,Gombak,,,,
ocd-division/country:my/state:10/ed:hulu_langat,Hulu Langat,,,,
ocd-division/country:my/state:10/ed:hulu_selangor,Hulu Selangor,,,,
ocd-division/country:my/state:10/ed:kapar,Kapar,,,,
ocd-division/country:my/state:10/ed:kelana_jaya,Kelana Jaya,,,,2018
ocd-division/country:my/state:10/ed:klang,Klang,,,,
ocd-division/country:my/state:10/ed:kota_raja,Kota Raja,,,,
ocd-division/country:my/state:10/ed:kuala_langat,Kuala Langat,,,,
ocd-division/country:my/state:10/ed:kuala_selangor,Kuala Selangor,,,,
ocd-division/country:my/state:10/ed:p092,Sabak Bernam,ocd-division/country:my/state:10/ed:sabak_bernam,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p093,Sungai Besar,ocd-division/country:my/state:10/ed:sungai_besar,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p094,Hulu Selangor,ocd-division/country:my/state:10/ed:hulu_selangor,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p095,Tanjong Karang,ocd-division/country:my/state:10/ed:tanjong_karang,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p096,Kuala Selangor,ocd-division/country:my/state:10/ed:kuala_selangor,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p097,Selayang,ocd-division/country:my/state:10/ed:selayang,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p098,Gombak,ocd-division/country:my/state:10/ed:gombak,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p099,Ampang,ocd-division/country:my/state:10/ed:ampang,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p100,Pandan,ocd-division/country:my/state:10/ed:pandan,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p101,Hulu Langat,ocd-division/country:my/state:10/ed:hulu_langat,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p102,Serdang,ocd-division/country:my/state:10/ed:serdang,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p103,Puchong,ocd-division/country:my/state:10/ed:puchong,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p104,Kelana Jaya,ocd-division/country:my/state:10/ed:kelana_jaya,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p105,Petaling Jaya Selatan,ocd-division/country:my/state:10/ed:petaling_jaya_selatan,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p106,Petaling Jaya Utara,ocd-division/country:my/state:10/ed:petaling_jaya_utara,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p107,Subang,ocd-division/country:my/state:10/ed:subang,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p108,Shah Alam,ocd-division/country:my/state:10/ed:shah_alam,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p109,Kapar,ocd-division/country:my/state:10/ed:kapar,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p110,Klang,ocd-division/country:my/state:10/ed:klang,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p111,Kota Raja,ocd-division/country:my/state:10/ed:kota_raja,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p112,Kuala Langat,ocd-division/country:my/state:10/ed:kuala_langat,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:p113,Sepang,ocd-division/country:my/state:10/ed:sepang,Added for backwards compatability,,
ocd-division/country:my/state:10/ed:pandan,Pandan,,,,
