id,name,validThrough,validFrom
ocd-division/country:kr/ed:pohang_city_north_district,Pohang City North District,,
ocd-division/country:kr/ed:pohang_city_south_district_and_ulleung_islands,Pohang City South District and Ulleung Islands,,
ocd-division/country:kr/ed:pyeongtaek_city_1,Pyeongtaek City First,,
ocd-division/country:kr/ed:pyeongtaek_city_2,Pyeongtaek City Second,,
ocd-division/country:kr/ed:pyeongtaek_city_3,Pyeongtaek City Third,,2024-05-30
ocd-division/country:kr/ed:sacheon_city-south_sea_county_and_hadong_county,"Sacheon City, South Sea County and Hadong County",,
ocd-division/country:kr/ed:saha_district_1,Saha District First,,
ocd-division/country:kr/ed:saha_district_2,Saha District Second,,
ocd-division/country:kr/ed:sancheong_county-hamyang_county-geochang_county_and_hapcheon_county,"Sancheong County, Hamyang County, Geochang County and Hapcheon County",,
ocd-division/country:kr/ed:sangju_city_and_mungyeong_city,Sangju City and Mungyeong City,,
ocd-division/country:kr/ed:sasang_district,Sasang District,,
ocd-division/country:kr/ed:sejong_city_1,Sejong City First,,
ocd-division/country:kr/ed:sejong_city_2,Sejong City Second,,
ocd-division/country:kr/ed:seo_district_3,Seo District Third,,2024-05-30
ocd-division/country:kr/ed:seocho_1,Seocho First,,
ocd-division/country:kr/ed:seocho_2,Seocho Second,,
ocd-division/country:kr/ed:seodaemun_1,Seodaemun First,,
ocd-division/country:kr/ed:seodaemun_2,Seodaemun Second,,
ocd-division/country:kr/ed:seogwipo_city,Seogwipo City,,
ocd-division/country:kr/ed:seongbuk_1,Seongbuk First,,
ocd-division/country:kr/ed:seongbuk_2,Seongbuk Second,,
ocd-division/country:kr/ed:seongnam_bundang_district_1,Seongnam Bundang District First,,
ocd-division/country:kr/ed:seongnam_bundang_district_2,Seongnam Bundang District Second,,
ocd-division/country:kr/ed:seongnam_jungwon_district,Seongnam Jungwon District,,
ocd-division/country:kr/ed:seongnam_sujeong_district,Seongnam Sujeong District,,
ocd-division/country:kr/ed:seosan_city_and_taean_county,Seosan City and Taean County,,
ocd-division/country:kr/ed:siheung_city_1,Siheung City First,,
ocd-division/country:kr/ed:siheung_city_2,Siheung City Second,,
