id,county_id
ocd-division/country:us/state:ky/county:bracken/precinct:d101-berlin,D101
ocd-division/country:us/state:ky/county:bracken/precinct:e101-chatham,E101
ocd-division/country:us/state:ky/county:bracken/precinct:f101-brooksville,F101
ocd-division/country:us/state:ky/county:bracken/precinct:g101-milford,G101
ocd-division/country:us/state:ky/county:bracken/precinct:h101-germantown,H101
ocd-division/country:us/state:ky/county:breathitt/precinct:a101-courthouse,A101
ocd-division/country:us/state:ky/county:breathitt/precinct:a102-vancleve,A102
ocd-division/country:us/state:ky/county:breathitt/precinct:a103-war_creek,A103
ocd-division/country:us/state:ky/county:breathitt/precinct:a104-city_1,A104
ocd-division/country:us/state:ky/county:breathitt/precinct:a105-city_2,A105
ocd-division/country:us/state:ky/county:breathitt/precinct:b101-oakdale,B101
ocd-division/country:us/state:ky/county:breathitt/precinct:b102-big_rock,B102
ocd-division/country:us/state:ky/county:breathitt/precinct:b103-shoulderblade,B103
ocd-division/country:us/state:ky/county:breathitt/precinct:b104-turners_creek,B104
ocd-division/country:us/state:ky/county:breathitt/precinct:b105-wolfcoal,B105
ocd-division/country:us/state:ky/county:breathitt/precinct:c101-lost_creek,C101
ocd-division/country:us/state:ky/county:breathitt/precinct:c102-caney_school,C102
ocd-division/country:us/state:ky/county:breathitt/precinct:c103-quicksand,C103
ocd-division/country:us/state:ky/county:breathitt/precinct:c104-whick,C104
ocd-division/country:us/state:ky/county:breathitt/precinct:c105-hays_branch,C105
ocd-division/country:us/state:ky/county:breathitt/precinct:d101-armory,D101
ocd-division/country:us/state:ky/county:breathitt/precinct:d102-city_school,D102
ocd-division/country:us/state:ky/county:breathitt/precinct:d103-state_garage,D103
ocd-division/country:us/state:ky/county:breathitt/precinct:d104-hunting_creek,D104
ocd-division/country:us/state:ky/county:breathitt/precinct:d105-spring_fork,D105
ocd-division/country:us/state:ky/county:breathitt/precinct:d106-blanton_bridge,D106
ocd-division/country:us/state:ky/county:breckinridge/precinct:a101-hardinsburg_1,A101
ocd-division/country:us/state:ky/county:breckinridge/precinct:a102-hardinsburg_2,A102
ocd-division/country:us/state:ky/county:breckinridge/precinct:b101-cloverport_1,B101
ocd-division/country:us/state:ky/county:breckinridge/precinct:b102-cloverport_2,B102
ocd-division/country:us/state:ky/county:breckinridge/precinct:b103-mcquady,B103
ocd-division/country:us/state:ky/county:breckinridge/precinct:c101-union_star,C101
ocd-division/country:us/state:ky/county:breckinridge/precinct:c102-garfield,C102
ocd-division/country:us/state:ky/county:breckinridge/precinct:d101-irvington_1,D101
ocd-division/country:us/state:ky/county:breckinridge/precinct:d102-irvington_2,D102
ocd-division/country:us/state:ky/county:breckinridge/precinct:d103-bewleyville,D103
ocd-division/country:us/state:ky/county:breckinridge/precinct:e101-hudson,E101
ocd-division/country:us/state:ky/county:breckinridge/precinct:e102-custer,E102
ocd-division/country:us/state:ky/county:breckinridge/precinct:e103-harned,E103
ocd-division/country:us/state:ky/county:breckinridge/precinct:f101-mcdaniels,F101
ocd-division/country:us/state:ky/county:breckinridge/precinct:f102-glen_dean,F102
ocd-division/country:us/state:ky/county:bullitt/precinct:a101-shepherdsville_1,A101
ocd-division/country:us/state:ky/county:bullitt/precinct:a102-shephersdsville_1a,A102
ocd-division/country:us/state:ky/county:bullitt/precinct:a103-shepherdsville_3,A103
ocd-division/country:us/state:ky/county:bullitt/precinct:a104-pleasant_grove_4n,A104
ocd-division/country:us/state:ky/county:bullitt/precinct:a105-cupio_13,A105
ocd-division/country:us/state:ky/county:bullitt/precinct:a106-sheperdsville_2a,A106
ocd-division/country:us/state:ky/county:bullitt/precinct:a107-brooks_12,A107
ocd-division/country:us/state:ky/county:bullitt/precinct:a108-brooks_12a,A108
ocd-division/country:us/state:ky/county:bullitt/precinct:a109-zoneton_11,A109
ocd-division/country:us/state:ky/county:bullitt/precinct:a110-shepherdsville_2b,A110
ocd-division/country:us/state:ky/county:bullitt/precinct:a111-shepherdsville_3a,A111
ocd-division/country:us/state:ky/county:bullitt/precinct:b101-mt_washington_7,B101
ocd-division/country:us/state:ky/county:bullitt/precinct:b102-mt_washington_8,B102
ocd-division/country:us/state:ky/county:bullitt/precinct:b103-mt_washington_9,B103
ocd-division/country:us/state:ky/county:bullitt/precinct:b104-mt_washington_10,B104
ocd-division/country:us/state:ky/county:bullitt/precinct:b107-mt_washington_9-a,B107
ocd-division/country:us/state:ky/county:bullitt/precinct:b108-mt_washington_8-a,B108
ocd-division/country:us/state:ky/county:bullitt/precinct:b109-mt_washington_7-a,B109
ocd-division/country:us/state:ky/county:bullitt/precinct:b110-mt_washington_9-north,B110
ocd-division/country:us/state:ky/county:bullitt/precinct:b111-mt_washington_9-b,B111
ocd-division/country:us/state:ky/county:bullitt/precinct:b112-mt_washington_7b,B112
ocd-division/country:us/state:ky/county:bullitt/precinct:b113-mt_washington_8-b,B113
ocd-division/country:us/state:ky/county:bullitt/precinct:b114-mt_washington_9c,B114
ocd-division/country:us/state:ky/county:bullitt/precinct:c101-hebron_5,C101
ocd-division/country:us/state:ky/county:bullitt/precinct:c102-maryville_6,C102
ocd-division/country:us/state:ky/county:bullitt/precinct:c103-zoneton_11-a,C103
ocd-division/country:us/state:ky/county:bullitt/precinct:c104-maryville_south_19,C104
ocd-division/country:us/state:ky/county:bullitt/precinct:c105-hebron_5a,C105
ocd-division/country:us/state:ky/county:bullitt/precinct:c106-hebron_5b,C106
ocd-division/country:us/state:ky/county:bullitt/precinct:c107-maryville_6a,C107
ocd-division/country:us/state:ky/county:bullitt/precinct:c108-zoneton_11-b,C108
ocd-division/country:us/state:ky/county:bullitt/precinct:c109-zoneton_11_north,C109
ocd-division/country:us/state:ky/county:bullitt/precinct:c110-hebron_20,C110
ocd-division/country:us/state:ky/county:bullitt/precinct:c111-hebron_21,C111
ocd-division/country:us/state:ky/county:bullitt/precinct:c112-maryville_south_19a,C112
ocd-division/country:us/state:ky/county:bullitt/precinct:d101-lebanon_junction_14,D101
ocd-division/country:us/state:ky/county:bullitt/precinct:d102-lebanon_junction_15,D102
ocd-division/country:us/state:ky/county:bullitt/precinct:d103-bernheim_16,D103
ocd-division/country:us/state:ky/county:bullitt/precinct:d104-beech_grove_17,D104
ocd-division/country:us/state:ky/county:bullitt/precinct:d105-cedar_grove_18,D105
ocd-division/country:us/state:ky/county:bullitt/precinct:d106-bernheim_16a,D106
ocd-division/country:us/state:ky/county:bullitt/precinct:d107-cedar_grove_18a,D107
ocd-division/country:us/state:ky/county:bullitt/precinct:d108-shepherdsville_2,D108
