id,sameAs,sameAsNote
ocd-division/country:us/state:in/county:hamilton/commissioner_district:1,ocd-division/country:us/state:in/county:hamilton/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:hamilton/commissioner_district:2,ocd-division/country:us/state:in/county:hamilton/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:hamilton/commissioner_district:3,ocd-division/country:us/state:in/county:hamilton/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:hancock/commissioner_district:1,ocd-division/country:us/state:in/county:hancock/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:hancock/commissioner_district:2,ocd-division/country:us/state:in/county:hancock/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:hancock/commissioner_district:3,ocd-division/country:us/state:in/county:hancock/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:harrison/commissioner_district:1,ocd-division/country:us/state:in/county:harrison/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:harrison/commissioner_district:2,ocd-division/country:us/state:in/county:harrison/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:harrison/commissioner_district:3,ocd-division/country:us/state:in/county:harrison/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:hendricks/commissioner_district:1,ocd-division/country:us/state:in/county:hendricks/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:hendricks/commissioner_district:2,ocd-division/country:us/state:in/county:hendricks/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:hendricks/commissioner_district:3,ocd-division/country:us/state:in/county:hendricks/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:howard/commissioner_district:1,ocd-division/country:us/state:in/county:howard/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:howard/commissioner_district:2,ocd-division/country:us/state:in/county:howard/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:howard/commissioner_district:3,ocd-division/country:us/state:in/county:howard/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:huntington/commissioner_district:1,ocd-division/country:us/state:in/county:huntington/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:huntington/commissioner_district:2,ocd-division/country:us/state:in/county:huntington/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:huntington/commissioner_district:3,ocd-division/country:us/state:in/county:huntington/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:jackson/commissioner_district:1,ocd-division/country:us/state:in/county:jackson/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:jackson/commissioner_district:2,ocd-division/country:us/state:in/county:jackson/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:jackson/commissioner_district:3,ocd-division/country:us/state:in/county:jackson/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:jasper/commissioner_district:1,ocd-division/country:us/state:in/county:jasper/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:jasper/commissioner_district:2,ocd-division/country:us/state:in/county:jasper/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:jasper/commissioner_district:3,ocd-division/country:us/state:in/county:jasper/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:jennings/commissioner_district:1,ocd-division/country:us/state:in/county:jennings/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:jennings/commissioner_district:2,ocd-division/country:us/state:in/county:jennings/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:jennings/commissioner_district:3,ocd-division/country:us/state:in/county:jennings/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:johnson/commissioner_district:1,ocd-division/country:us/state:in/county:johnson/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:johnson/commissioner_district:2,ocd-division/country:us/state:in/county:johnson/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:johnson/commissioner_district:3,ocd-division/country:us/state:in/county:johnson/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:knox/commissioner_district:1,ocd-division/country:us/state:in/county:knox/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:knox/commissioner_district:2,ocd-division/country:us/state:in/county:knox/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:knox/commissioner_district:3,ocd-division/country:us/state:in/county:knox/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:lake/commissioner_district:1,ocd-division/country:us/state:in/county:lake/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:lake/commissioner_district:2,ocd-division/country:us/state:in/county:lake/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:lake/commissioner_district:3,ocd-division/country:us/state:in/county:lake/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:laporte/commissioner_district:1,ocd-division/country:us/state:in/county:laporte/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:laporte/commissioner_district:2,ocd-division/country:us/state:in/county:laporte/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:laporte/commissioner_district:3,ocd-division/country:us/state:in/county:laporte/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:lawrence/commissioner_district:1,ocd-division/country:us/state:in/county:lawrence/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:lawrence/commissioner_district:2,ocd-division/country:us/state:in/county:lawrence/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:lawrence/commissioner_district:3,ocd-division/country:us/state:in/county:lawrence/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:madison/commissioner_district:middle,ocd-division/country:us/state:in/county:madison/executive_district:middle,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:madison/commissioner_district:north,ocd-division/country:us/state:in/county:madison/executive_district:north,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:madison/commissioner_district:south,ocd-division/country:us/state:in/county:madison/executive_district:south,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:marshall/commissioner_district:1,ocd-division/country:us/state:in/county:marshall/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:marshall/commissioner_district:2,ocd-division/country:us/state:in/county:marshall/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:marshall/commissioner_district:3,ocd-division/country:us/state:in/county:marshall/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:martin/commissioner_district:1,ocd-division/country:us/state:in/county:martin/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:martin/commissioner_district:2,ocd-division/country:us/state:in/county:martin/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:martin/commissioner_district:3,ocd-division/country:us/state:in/county:martin/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:miami/commissioner_district:1,ocd-division/country:us/state:in/county:miami/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:miami/commissioner_district:2,ocd-division/country:us/state:in/county:miami/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:miami/commissioner_district:3,ocd-division/country:us/state:in/county:miami/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:monroe/commissioner_district:1,ocd-division/country:us/state:in/county:monroe/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:monroe/commissioner_district:2,ocd-division/country:us/state:in/county:monroe/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:monroe/commissioner_district:3,ocd-division/country:us/state:in/county:monroe/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:montgomery/commissioner_district:1,ocd-division/country:us/state:in/county:montgomery/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:montgomery/commissioner_district:2,ocd-division/country:us/state:in/county:montgomery/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:montgomery/commissioner_district:3,ocd-division/country:us/state:in/county:montgomery/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:morgan/commissioner_district:1,ocd-division/country:us/state:in/county:morgan/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:morgan/commissioner_district:2,ocd-division/country:us/state:in/county:morgan/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:morgan/commissioner_district:3,ocd-division/country:us/state:in/county:morgan/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:newton/commissioner_district:1,ocd-division/country:us/state:in/county:newton/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:newton/commissioner_district:2,ocd-division/country:us/state:in/county:newton/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:newton/commissioner_district:3,ocd-division/country:us/state:in/county:newton/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:noble/commissioner_district:1,ocd-division/country:us/state:in/county:noble/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:noble/commissioner_district:2,ocd-division/country:us/state:in/county:noble/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:noble/commissioner_district:3,ocd-division/country:us/state:in/county:noble/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:ohio/commissioner_district:1,ocd-division/country:us/state:in/county:ohio/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:ohio/commissioner_district:2,ocd-division/country:us/state:in/county:ohio/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:ohio/commissioner_district:3,ocd-division/country:us/state:in/county:ohio/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:orange/commissioner_district:1,ocd-division/country:us/state:in/county:orange/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:orange/commissioner_district:2,ocd-division/country:us/state:in/county:orange/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:orange/commissioner_district:3,ocd-division/country:us/state:in/county:orange/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:owen/commissioner_district:1,ocd-division/country:us/state:in/county:owen/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:owen/commissioner_district:2,ocd-division/country:us/state:in/county:owen/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:owen/commissioner_district:3,ocd-division/country:us/state:in/county:owen/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:parke/commissioner_district:1,ocd-division/country:us/state:in/county:parke/executive_district:1,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:parke/commissioner_district:2,ocd-division/country:us/state:in/county:parke/executive_district:2,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:parke/commissioner_district:3,ocd-division/country:us/state:in/county:parke/executive_district:3,better type name – hope to deprecate commissioner_district
ocd-division/country:us/state:in/county:perry/commissioner_district:1,ocd-division/country:us/state:in/county:perry/executive_district:1,better type name – hope to deprecate commissioner_district
