@id,name,census_geoid
ocd-division/country:us/state:hi/sldu:1,Hawaii State Senate district 1,15001
ocd-division/country:us/state:hi/sldu:2,Hawaii State Senate district 2,15002
ocd-division/country:us/state:hi/sldu:3,Hawaii State Senate district 3,15003
ocd-division/country:us/state:hi/sldu:4,Hawaii State Senate district 4,15004
ocd-division/country:us/state:hi/sldu:5,Hawaii State Senate district 5,15005
ocd-division/country:us/state:hi/sldu:6,Hawaii State Senate district 6,15006
ocd-division/country:us/state:hi/sldu:7,Hawaii State Senate district 7,15007
ocd-division/country:us/state:hi/sldu:8,Hawaii State Senate district 8,15008
ocd-division/country:us/state:hi/sldu:9,Hawaii State Senate district 9,15009
ocd-division/country:us/state:hi/sldu:10,Hawaii State Senate district 10,15010
ocd-division/country:us/state:hi/sldu:11,Hawaii State Senate district 11,15011
ocd-division/country:us/state:hi/sldu:12,Hawaii State Senate district 12,15012
ocd-division/country:us/state:hi/sldu:13,Hawaii State Senate district 13,15013
ocd-division/country:us/state:hi/sldu:14,Hawaii State Senate district 14,15014
ocd-division/country:us/state:hi/sldu:15,Hawaii State Senate district 15,15015
ocd-division/country:us/state:hi/sldu:16,Hawaii State Senate district 16,15016
ocd-division/country:us/state:hi/sldu:17,Hawaii State Senate district 17,15017
ocd-division/country:us/state:hi/sldu:18,Hawaii State Senate district 18,15018
ocd-division/country:us/state:hi/sldu:19,Hawaii State Senate district 19,15019
ocd-division/country:us/state:hi/sldu:20,Hawaii State Senate district 20,15020
ocd-division/country:us/state:hi/sldu:21,Hawaii State Senate district 21,15021
ocd-division/country:us/state:hi/sldu:22,Hawaii State Senate district 22,15022
ocd-division/country:us/state:hi/sldu:23,Hawaii State Senate district 23,15023
ocd-division/country:us/state:hi/sldu:24,Hawaii State Senate district 24,15024
ocd-division/country:us/state:hi/sldu:25,Hawaii State Senate district 25,15025
ocd-division/country:us/state:id/sldu:1,Idaho State Senate district 1,16001
ocd-division/country:us/state:id/sldu:2,Idaho State Senate district 2,16002
ocd-division/country:us/state:id/sldu:3,Idaho State Senate district 3,16003
ocd-division/country:us/state:id/sldu:4,Idaho State Senate district 4,16004
ocd-division/country:us/state:id/sldu:5,Idaho State Senate district 5,16005
ocd-division/country:us/state:id/sldu:6,Idaho State Senate district 6,16006
ocd-division/country:us/state:id/sldu:7,Idaho State Senate district 7,16007
ocd-division/country:us/state:id/sldu:8,Idaho State Senate district 8,16008
ocd-division/country:us/state:id/sldu:9,Idaho State Senate district 9,16009
ocd-division/country:us/state:id/sldu:10,Idaho State Senate district 10,16010
ocd-division/country:us/state:id/sldu:11,Idaho State Senate district 11,16011
ocd-division/country:us/state:id/sldu:12,Idaho State Senate district 12,16012
